"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Сердце;3617669979294;FR-2X4-25-16032;;"Music Release";Stream;1;RUB;0.004200000000
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;24;RUB;0.547431563386
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";CYB3RLOVE;Сердце;3617389854062;DG-A06-24-19556;;"Music Release";Stream;1;RUB;0.086213513535
01/07/2025;01/06/2025;"Amazon Music Streaming";Germany;"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;3;RUB;0.250561459742
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";CYB3RLOVE;Послала;3617389854062;DG-A06-24-19555;;"Music Release";Stream;1;RUB;0.051555690151
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;3;RUB;0.012600000038
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;29;RUB;0.619030441965
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Сердце;3617669979294;FR-2X4-25-16032;;"Music Release";Stream;1;RUB;0.006944375020
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;1;RUB;0.055990255553
01/09/2025;01/08/2025;"UMA (Odnoklassniki)";"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;2;RUB;0.008400000000
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;1;RUB;0.151543503911
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Сердце;3617669979294;FR-2X4-25-16032;;"Music Release";Stream;1;RUB;0.004200000039
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Сердце;3617669979294;FR-2X4-25-16032;;"Music Release";Stream;1;RUB;0.004200000038
01/08/2025;01/06/2025;"Facebook / Instagram";Worldwide;"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Сердце;3617669979294;FR-2X4-25-16032;;"Music Release";Creation;6;RUB;0.128492557675
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Сердце;3617669979294;FR-2X4-25-16032;;"Music Release";Stream;18;RUB;0.377090170437
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;2;RUB;0.008400000000
01/08/2025;01/07/2025;"Amazon Music Streaming";Germany;"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;1;RUB;0.084680199758
01/09/2025;01/08/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Сердце;3617669979294;FR-2X4-25-16032;;"Music Release";Stream;22;RUB;0.246005861529
01/07/2025;01/06/2025;Yandex;Belarus;"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Сердце;3617669979294;FR-2X4-25-16032;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Послала;3617669979294;FR-2X4-25-16031;;"Music Release";Stream;38;RUB;0.698415587906
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";"CBmainer, Paskeka, sKer1T";сайберлав;Сердце;3617669979294;FR-2X4-25-16032;;"Music Release";Stream;12;RUB;0.257127892219
