"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;5;RUB;0.312011326852
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;9;RUB;0.175241865293
01/08/2025;01/07/2025;Soundcloud;Portugal;"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;1;RUB;0.257368809455
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;1;RUB;0.149705663389
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;2;RUB;0.155743503948
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;6;RUB;0.129835793155
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;22;RUB;0.483880542982
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;1;RUB;0.172406485472
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;5;RUB;0.693825941849
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, MXFFXN";#погост831#рарара;#погост831#рарара;3617221819020;FR-X87-23-34715;;"Music Release";Stream;1;RUB;0.222191841425
