"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;1;RUB;0.099661454770
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;32;RUB;0.685014152374
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;27;RUB;0.508121541765
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;6;RUB;0.405514114458
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;2;RUB;0.167456123335
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;20;RUB;0.448799986526
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;4;RUB;0.167122605981
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;5;RUB;0.021000000038
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;9;RUB;0.197225290373
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, OKTAWA";"кесарево онлайн*";"angel kiss Premium Track";3617053445619;DG-A06-22-96612;;"Music Release";Stream;1;RUB;0.202715709427
