"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;3;RUB;0.064917896578
01/07/2025;01/07/2025;"Apple Music";"United States";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;2;RUB;0.700193917547
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;2;RUB;0.233433725057
01/07/2025;01/06/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;3;RUB;0.065983710410
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;54;RUB;0.887643886134
01/07/2025;01/06/2025;Yandex;Belarus;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.003182478163
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;71;RUB;1.384628135706
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Moldova, Republic Of";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/06/2025;"UMA (Vkontakte)";Ukraine;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/09/2025;"YouTube Official Content";"United Kingdom";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.534461280851
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;3;RUB;0.282806720046
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;108;RUB;1.622264203010
01/07/2025;01/07/2025;"YouTube Official Content";Brazil;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.144198145845
01/08/2025;01/08/2025;"YouTube Official Content";Germany;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.437561416015
01/09/2025;01/09/2025;"YouTube Official Content";Turkey;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.072370329018
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;101;RUB;1.935307058387
01/08/2025;01/07/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;7;RUB;0.149991270493
01/09/2025;01/09/2025;"YouTube Official Content";Argentina;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.041014259370
01/07/2025;01/07/2025;"Apple Music";Turkey;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;2;RUB;0.164136173300
01/08/2025;01/08/2025;"YouTube Official Content";"South Africa";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.245605968310
01/07/2025;01/07/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;3;RUB;0.279234479984
01/09/2025;01/09/2025;"YouTube Official Content";"United States";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.340421380350
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;71;RUB;1.479934117033
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.099661454770
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;5;RUB;0.337928428740
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;0.106894479981
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;7;RUB;1.014545514007
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;1;RUB;1.681991111129
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"DELFIKSTAF, dekma";"кесарево онлайн*";"ПУГАЛО 17;41 ТИП ПОТОКА";3617053445619;DG-A06-22-96606;;"Music Release";Stream;73;RUB;1.229361780239
