"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/04/2024;"Apple Music";Ukraine;"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;4;RUB;0.269554898379
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;6;RUB;0.025200000000
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;8;RUB;0.113128061667
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;13;RUB;0.267117319803
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;1;RUB;0.143999119813
01/07/2025;01/06/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;1;RUB;0.004200000000
01/08/2025;01/06/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;2;RUB;0.644811138410
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;4;RUB;0.016800000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;3;RUB;0.064917896578
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Flicher, smart punk";"никому не нужен";"никому не нужен";3617051015753;FR-X76-22-41166;;"Music Release";Stream;5;RUB;0.107136621727
