"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";GODZHATOV;"My w0rld 1s d3feated";"Убей меня";3617050858023;FR-X76-22-21139;;"Music Release";Stream;1;RUB;0.004200000039
01/09/2025;01/09/2025;"Apple Music";"Czech Republic";"трэп хаус квэльчиков";GODZHATOV;"My w0rld 1s d3feated";"Убей меня";3617050858023;FR-X76-22-21139;;"Music Release";Stream;1;RUB;0.336685053814
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;GODZHATOV;"Panic Attack";"Panic Attack";5063316792378;RU-A1D-24-07461;;"Music Release";Stream;48;RUB;1.018115182587
01/08/2025;01/04/2024;"Apple Music";"United Kingdom";"трэп хаус квэльчиков";GODZHATOV;"My w0rld 1s d3feated";"Убей меня";3617050858023;FR-X76-22-21139;;"Music Release";Stream;4;RUB;23.252135777677
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";GODZHATOV;"My w0rld 1s d3feated";"Убей меня";3617050858023;FR-X76-22-21139;;"Music Release";Stream;1;RUB;0.106894479981
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";GODZHATOV;"My w0rld 1s d3feated";"Поглоти мою боль";3617050858023;FR-X76-22-21136;;"Music Release";Stream;4;RUB;0.096328061667
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";GODZHATOV;"My w0rld 1s d3feated";"Поглоти мою боль";3617050858023;FR-X76-22-21136;;"Music Release";Stream;5;RUB;0.021000000039
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;GODZHATOV;"Panic Attack";"Panic Attack";5063316792378;RU-A1D-24-07461;;"Music Release";Stream;2;RUB;0.008400000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;GODZHATOV;"Panic Attack";"Panic Attack";5063316792378;RU-A1D-24-07461;;"Music Release";Stream;16;RUB;0.328531957610
01/09/2025;01/09/2025;"Apple Music";Kazakhstan;"трэп хаус квэльчиков";GODZHATOV;"My w0rld 1s d3feated";"Убей меня";3617050858023;FR-X76-22-21139;;"Music Release";Stream;3;RUB;0.195920801601
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;GODZHATOV;"Panic Attack";"Panic Attack";5063316792378;RU-A1D-24-07461;;"Music Release";Stream;1;RUB;0.021994570186
