"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/07/2025;"YouTube UGC";Georgia;"Stars Clique";"Goth Angel";Крестраж;Крестраж;5063316112565;RU-A1D-23-59251;;"Music Release";Stream;18;RUB;1.005083707204
01/08/2025;01/08/2025;"YouTube UGC";Ukraine;"Stars Clique";"Goth Angel";Крестраж;Крестраж;5063316112565;RU-A1D-23-59251;;"Music Release";Stream;330;RUB;17.521211293599
01/08/2025;01/07/2025;"Facebook / Instagram";"South Africa";"Stars Clique";"Goth Angel";"Bloody tears";Взгляд;3617664681024;DG-A0P-24-49927;;"Music Release";Stream;1;RUB;0.000681944569
01/09/2025;01/09/2025;"Apple Music";Japan;"Stars Clique";"Goth Angel";"Fuck my life";"Fuck my life";3617391759607;FR-59R-25-60201;;"Music Release";Stream;1;RUB;0.253348863189
01/09/2025;01/09/2025;"YouTube UGC";Ireland;"Stars Clique";"Goth Angel";Крестраж;Крестраж;5063316112565;RU-A1D-23-59251;;"Music Release";Stream;1;RUB;1.135128262592
01/07/2025;01/06/2025;"Facebook / Instagram";India;"Stars Clique";"Goth Angel";"Bloody tears";Взгляд;3617664681024;DG-A0P-24-49927;;"Music Release";Stream;12;RUB;0.009138300714
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"Goth Angel";"Bloody tears";Два;3617664681024;DG-A0P-24-49926;;"Music Release";Stream;5;RUB;0.021000000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"Goth Angel";Blood;Blood;5063018949339;RU-A1D-23-33585;;"Music Release";Stream;1;RUB;0.320926619630
01/08/2025;01/08/2025;"YouTube UGC";Algeria;"Stars Clique";"Goth Angel";Крестраж;Крестраж;5063316112565;RU-A1D-23-59251;;"Music Release";Stream;1;RUB;0.007869429482
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"Goth Angel";"Bloody tears";"U know i'm dying!";3617664681024;FR-X45-22-40481;;"Music Release";Stream;31;RUB;0.653121440420
01/07/2025;01/07/2025;"YouTube UGC";Ireland;"Stars Clique";"Goth Angel";Крестраж;Крестраж;5063316112565;RU-A1D-23-59251;;"Music Release";Stream;3;RUB;1.127265326531
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"Goth Angel";NPC;NPC;3617394513084;FR-X20-25-55574;;"Music Release";Stream;1;RUB;0.116086842033
01/07/2025;01/07/2025;"YouTube UGC";"United States";"Stars Clique";"Goth Angel";"Bloody tears";Взгляд;3617664681024;DG-A0P-24-49927;;"Music Release";Stream;1;RUB;0.036960140757
01/07/2025;01/07/2025;"YouTube UGC";"United States";"Stars Clique";"Goth Angel";"1000 причин";"1000 причин";3617661559784;DG-A08-24-76156;;"Music Release";Stream;1;RUB;0.011824004672
