"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;SUPERSWAG;3617390743270;FR-2X4-25-66680;;"Music Release";Stream;1;RUB;0.004200000039
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;"В кровь Freestyle";3617390743270;FR-2X4-25-66682;;"Music Release";Stream;1;RUB;0.004200000000
01/07/2025;01/07/2025;"Apple Music";Spain;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;SUPERSWAG;3617390743270;FR-2X4-25-66680;;"Music Release";Stream;1;RUB;0.210471626162
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;SUPERSWAG;3617390743270;FR-2X4-25-66680;;"Music Release";Stream;7;RUB;0.135149898983
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;"В кровь Freestyle";3617390743270;FR-2X4-25-66682;;"Music Release";Stream;1;RUB;0.004200000039
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;SUPERSWAG;3617390743270;FR-2X4-25-66680;;"Music Release";Stream;18;RUB;0.389507379465
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;"В кровь Freestyle";3617390743270;FR-2X4-25-66682;;"Music Release";Stream;4;RUB;0.087978280522
01/09/2025;01/08/2025;"UMA (Vkontakte)";Azerbaijan;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;"В кровь Freestyle";3617390743270;FR-2X4-25-66682;;"Music Release";Stream;1;RUB;0.004200000039
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Gothic;3617390743270;FR-2X4-25-66679;;"Music Release";Stream;10;RUB;0.219945701342
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Gothic;3617390743270;FR-2X4-25-66679;;"Music Release";Stream;10;RUB;0.216392988566
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;"В кровь Freestyle";3617390743270;FR-2X4-25-66682;;"Music Release";Stream;1;RUB;0.004200000038
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Фальконе;3617390743270;FR-2X4-25-66681;;"Music Release";Stream;1;RUB;0.004200000039
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Gothic;3617390743270;FR-2X4-25-66679;;"Music Release";Stream;3;RUB;0.159943503911
01/07/2025;01/04/2025;"Facebook / Instagram";Worldwide;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Gothic;3617390743270;FR-2X4-25-66679;;"Music Release";Creation;7;RUB;0.152621561034
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;"В кровь Freestyle";3617390743270;FR-2X4-25-66682;;"Music Release";Stream;4;RUB;0.085709297382
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Фальконе;3617390743270;FR-2X4-25-66681;;"Music Release";Stream;2;RUB;0.043989140298
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Bless;3617390743270;FR-2X4-25-66683;;"Music Release";Stream;1;RUB;0.013817219030
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Стоны;3617390743270;FR-2X4-25-66684;;"Music Release";Stream;3;RUB;0.012600000000
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Стоны;3617390743270;FR-2X4-25-66684;;"Music Release";Stream;2;RUB;0.008400000000
01/07/2025;01/06/2025;Yandex;Kazakhstan;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;"В кровь Freestyle";3617390743270;FR-2X4-25-66682;;"Music Release";Stream;1;RUB;0.003182478163
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Gothic;3617390743270;FR-2X4-25-66679;;"Music Release";Stream;1;RUB;0.046817775251
01/07/2025;01/06/2025;Yandex;Kazakhstan;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Фальконе;3617390743270;FR-2X4-25-66681;;"Music Release";Stream;1;RUB;0.003182478163
01/07/2025;01/04/2025;"Facebook / Instagram";Worldwide;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Фальконе;3617390743270;FR-2X4-25-66681;;"Music Release";Creation;6;RUB;0.130818480898
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Gothic;3617390743270;FR-2X4-25-66679;;"Music Release";Stream;8;RUB;0.538219456377
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"Goth Angel, Dид";SUPERSWAG;SUPERSWAG;3617390743270;FR-2X4-25-66680;;"Music Release";Stream;2;RUB;0.008400000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"Goth Angel, Dид";SUPERSWAG;Фальконе;3617390743270;FR-2X4-25-66681;;"Music Release";Stream;1;RUB;0.014492604802
