"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;такая;3617390481776;FR-2X4-25-47432;;"Music Release";Stream;21;RUB;0.449973811403
01/09/2025;01/08/2025;"UMA (Odnoklassniki)";"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;3;RUB;0.012600000039
01/08/2025;01/07/2025;Yandex;Kazakhstan;"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;1;RUB;0.021427324346
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;23;RUB;0.449438837174
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";LEEPWAY;d.scape;больной;3617390481776;FR-2X4-25-47435;;"Music Release";Stream;2;RUB;0.153905663389
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";LEEPWAY;d.scape;больной;3617390481776;FR-2X4-25-47435;;"Music Release";Stream;2;RUB;0.008400000000
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;больной;3617390481776;FR-2X4-25-47435;;"Music Release";Stream;6;RUB;0.131967420820
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"не одна";3617390481776;FR-2X4-25-47434;;"Music Release";Stream;18;RUB;0.385691838366
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"не одна";3617390481776;FR-2X4-25-47434;;"Music Release";Stream;12;RUB;0.263934841640
01/08/2025;01/08/2025;"Apple Music";Germany;"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;1;RUB;0.491394217774
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";LEEPWAY;d.scape;больной;3617390481776;FR-2X4-25-47435;;"Music Release";Stream;1;RUB;0.162726651369
01/09/2025;01/08/2025;Yandex;Kazakhstan;"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;3;RUB;0.064917896578
01/09/2025;01/08/2025;Yandex;Azerbaijan;"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;больной;3617390481776;FR-2X4-25-47435;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/08/2025;"Apple Music";Germany;"Stars Clique";LEEPWAY;d.scape;"не одна";3617390481776;FR-2X4-25-47434;;"Music Release";Stream;1;RUB;0.491394217774
01/08/2025;01/07/2025;Yandex;Kazakhstan;"Stars Clique";LEEPWAY;d.scape;"не одна";3617390481776;FR-2X4-25-47434;;"Music Release";Stream;1;RUB;0.021427324346
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;14;RUB;0.299982540910
01/07/2025;01/07/2025;"YouTube Official Content";"United States";"Stars Clique";LEEPWAY;d.scape;больной;3617390481776;FR-2X4-25-47435;;"Music Release";Stream;2;RUB;0.403039389441
01/09/2025;01/08/2025;Yandex;Belarus;"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";LEEPWAY;d.scape;такая;3617390481776;FR-2X4-25-47432;;"Music Release";Stream;1;RUB;0.116547119170
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;такая;3617390481776;FR-2X4-25-47432;;"Music Release";Stream;12;RUB;0.259671586232
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";LEEPWAY;d.scape;такая;3617390481776;FR-2X4-25-47432;;"Music Release";Stream;1;RUB;0.172406485472
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;1;RUB;0.087763774112
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";LEEPWAY;d.scape;больной;3617390481776;FR-2X4-25-47435;;"Music Release";Stream;2;RUB;0.303087007747
01/08/2025;01/08/2025;"Apple Music";Germany;"Stars Clique";LEEPWAY;d.scape;больной;3617390481776;FR-2X4-25-47435;;"Music Release";Stream;1;RUB;0.491394217774
01/07/2025;01/07/2025;"YouTube Official Content";Canada;"Stars Clique";LEEPWAY;d.scape;больной;3617390481776;FR-2X4-25-47435;;"Music Release";Stream;1;RUB;0.167514312034
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";LEEPWAY;d.scape;рефлексия;3617390481776;FR-2X4-25-47431;;"Music Release";Stream;1;RUB;0.041514761480
01/08/2025;01/02/2025;SberZvuk;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"не одна";3617390481776;FR-2X4-25-47434;;"Music Release";Stream;2;RUB;0.611122525313
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"не одна";3617390481776;FR-2X4-25-47434;;"Music Release";Stream;8;RUB;0.173114390899
01/08/2025;01/03/2025;SberZvuk;"Russian Federation";"Stars Clique";LEEPWAY;d.scape;"с фильма";3617390481776;FR-2X4-25-47433;;"Music Release";Stream;1;RUB;0.341904154218
