"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/06/2025;TikTok;"United Kingdom";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Creation;1;RUB;0.066265152634
01/08/2025;01/06/2025;TikTok;Estonia;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Creation;1;RUB;0.066265152634
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;1;RUB;0.327036800452
01/09/2025;01/09/2025;"Apple Music";Kazakhstan;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;3;RUB;0.305305779730
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;3;RUB;0.080357754748
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;43;RUB;0.903770893261
01/07/2025;01/06/2025;Yandex;Ukraine;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;3;RUB;0.009547434490
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;203;RUB;2.414379711375
01/07/2025;01/06/2025;Yandex;Kazakhstan;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;7;RUB;0.022277347070
01/07/2025;01/06/2025;Yandex;Uzbekistan;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;2;RUB;0.006364956326
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;7;RUB;1.206845398070
01/08/2025;01/08/2025;"Apple Music";Kazakhstan;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;5;RUB;0.508582994933
01/08/2025;01/06/2025;TikTok;France;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Creation;1;RUB;0.066265152634
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;7;RUB;0.041089439092
01/09/2025;01/08/2025;NetEase;"China Mainland";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;1;RUB;0.015104758842
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;211;RUB;6.713293101638
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;31;RUB;0.569679952255
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;1;RUB;0.004200000000
01/08/2025;01/06/2025;TikTok;Germany;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Creation;2;RUB;0.132530305194
01/09/2025;01/07/2025;TikTok;Netherlands;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Creation;3;RUB;0.203699821778
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;43;RUB;0.930489850761
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;3;RUB;0.251184184929
01/08/2025;01/06/2025;TikTok;Finland;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Creation;1;RUB;0.066265152634
01/07/2025;01/06/2025;Yandex;Kyrgyzstan;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;1;RUB;0.003182478163
01/08/2025;01/06/2025;TikTok;"United States";thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Creation;1;RUB;0.066265152634
01/07/2025;01/06/2025;"UMA (Vkontakte)";Uzbekistan;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;1;RUB;0.004200000000
01/07/2025;01/06/2025;Yandex;Turkmenistan;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;1;RUB;0.003182478163
01/07/2025;01/06/2025;"UMA (Vkontakte)";Belarus;thqlabel;Louxcie;больше;больше;3617397015813;FR-X45-25-06672;;"Music Release";Stream;1;RUB;0.004200000000
