"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ";KIRKOROV2010.;KIRKOROV2010.;3617398724189;FR-X76-25-37516;;"Music Release";Stream;3;RUB;0.217155120027
01/07/2025;01/06/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";"МОЛОДОЙ ПАКЕТ";ГЛАМУР;ГЛАМУР;3617396865174;FR-X28-25-93430;;"Music Release";Stream;12;RUB;0.050400000000
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ";VIP.;VIP.;3618021076262;DG-A05-25-29321;;"Music Release";Stream;33;RUB;2.388706319984
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ";KIRKOROV2010.;KIRKOROV2010.;3617398724189;FR-X76-25-37516;;"Music Release";Stream;17;RUB;0.346660460056
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ";"КРАСНЫЙ ФЛАГ";"КРАСНЫЙ ФЛАГ";3617397525008;FR-X45-25-46429;;"Music Release";Stream;1;RUB;0.071179360023
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ";"КРАСНЫЙ ФЛАГ";"КРАСНЫЙ ФЛАГ";3617397525008;FR-X45-25-46429;;"Music Release";Stream;33;RUB;0.585544847370
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"МОЛОДОЙ ПАКЕТ";"So fast.";"So fast.";3617667774808;DG-A0T-24-12226;;"Music Release";Stream;1;RUB;0.000756864513
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ";ГЛАМУР;ГЛАМУР;3617396865174;FR-X28-25-93430;;"Music Release";Stream;491;RUB;14.302223414231
01/08/2025;01/06/2025;TikTok;"United States";"Stars Clique";"МОЛОДОЙ ПАКЕТ";ГЛАМУР;ГЛАМУР;3617396865174;FR-X28-25-93430;;"Music Release";Creation;1;RUB;0.066265152634
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"МОЛОДОЙ ПАКЕТ";"КРАСНЫЙ ФЛАГ";"КРАСНЫЙ ФЛАГ";3617397525008;FR-X45-25-46429;;"Music Release";Stream;1;RUB;0.028675488505
