"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/07/2025;"YouTube UGC";Germany;"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";"Project 28";"Project 28";3617392457052;FR-59R-25-99290;;"Music Release";Stream;1;RUB;0.014972113394
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";Выёбываемся.;Выёбываемся.;3617669906184;FR-2X4-25-10852;;"Music Release";Stream;13;RUB;0.496630511658
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";Выёбываемся.;Выёбываемся.;3617669906184;FR-2X4-25-10852;;"Music Release";Stream;11;RUB;1.141329840052
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";Выёбываемся.;Выёбываемся.;3617669906184;FR-2X4-25-10852;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";Выёбываемся.;Выёбываемся.;3617669906184;FR-2X4-25-10852;;"Music Release";Stream;1;RUB;0.370654743858
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";Выёбываемся.;Выёбываемся.;3617669906184;FR-2X4-25-10852;;"Music Release";Stream;34;RUB;0.301856123335
01/09/2025;01/08/2025;Yandex;Belarus;"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";Выёбываемся.;Выёбываемся.;3617669906184;FR-2X4-25-10852;;"Music Release";Stream;7;RUB;0.151475091988
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";Выёбываемся.;Выёбываемся.;3617669906184;FR-2X4-25-10852;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";"Project 28";"Project 28";3617392457052;FR-59R-25-99290;;"Music Release";Stream;13;RUB;0.222806485472
01/07/2025;01/07/2025;"YouTube UGC";Poland;"Stars Clique";"МОЛОДОЙ ПАКЕТ, devins0ul";"Project 28";"Project 28";3617392457052;FR-59R-25-99290;;"Music Release";Stream;106;RUB;0.275469363002
