"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;1;RUB;0.002042189175
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;225;RUB;4.927674271428
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;6;RUB;0.172543503948
01/08/2025;01/06/2025;SberZvuk;"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;2;RUB;0.644811138410
01/09/2025;01/07/2025;"Facebook / Instagram";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Creation;6;RUB;0.162611774579
01/08/2025;01/08/2025;"YouTube Official Content";Ukraine;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;1;RUB;0.027751311438
01/09/2025;01/08/2025;Yandex;Kazakhstan;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;1;RUB;0.088798865410
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;1;RUB;0.004200000000
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;66;RUB;1.394567024372
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;4;RUB;0.016800000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;72;RUB;1.639782379236
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;10;RUB;0.042000000000
01/07/2025;01/06/2025;Yandex;Kazakhstan;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;2;RUB;0.043989140298
01/08/2025;01/07/2025;Yandex;Belarus;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/07/2025;"Facebook / Instagram";Kazakhstan;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Creation;6;RUB;0.059216436238
01/08/2025;01/07/2025;Yandex;Kazakhstan;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;1;RUB;0.021427324346
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;2;RUB;0.078613843889
01/09/2025;01/08/2025;Yandex;Belarus;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;1;RUB;0.021639298911
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"МОЛОДОЙ ПАКЕТ, supb0ii";"Я БОГАТЫЙ";"Я БОГАТЫЙ";3617396345089;FR-X28-25-57678;;"Music Release";Stream;2;RUB;0.043989140298
