"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";Mesha;Клубняк;Клубняк;4641150122202;RU-AEX-22-34170;;"Music Release";Stream;14;RUB;0.353487007747
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";Mesha;"Не обижаюсь";"Не обижаюсь";4631165023151;AE-A2Z-23-08747;;"Music Release";Stream;1;RUB;0.000204219034
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";Mesha;Клубняк;Клубняк;4641150122202;RU-AEX-22-34170;;"Music Release";Stream;1;RUB;0.151543503911
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";Mesha;"Не обижаюсь";"Не обижаюсь";4631165023151;AE-A2Z-23-08747;;"Music Release";Stream;1;RUB;0.004200000000
01/08/2025;01/07/2025;"UMA (Vkontakte)";Kazakhstan;"DARKI MUZIK";Mesha;Клубняк;Клубняк;4641150122202;RU-AEX-22-34170;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";Kyrgyzstan;"DARKI MUZIK";Mesha;"Не обижаюсь";"Не обижаюсь";4631165023151;AE-A2Z-23-08747;;"Music Release";Stream;4;RUB;0.016800000000
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";Mesha;Клубняк;Клубняк;4641150122202;RU-AEX-22-34170;;"Music Release";Stream;4;RUB;0.016800000000
01/09/2025;01/09/2025;"Apple Music";Ukraine;"DARKI MUZIK";Mesha;"Не обижаюсь";"Не обижаюсь";4631165023151;AE-A2Z-23-08747;;"Music Release";Stream;1;RUB;0.094447253387
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";Kyrgyzstan;"DARKI MUZIK";Mesha;Клубняк;Клубняк;4641150122202;RU-AEX-22-34170;;"Music Release";Stream;16;RUB;0.067200000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";Mesha;Клубняк;Клубняк;4641150122202;RU-AEX-22-34170;;"Music Release";Stream;1;RUB;0.022788972696
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";Mesha;Клубняк;Клубняк;4641150122202;RU-AEX-22-34170;;"Music Release";Stream;7;RUB;0.174905663389
