"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;5;RUB;0.108196494322
01/09/2025;01/10/2023;Boomplay;Uganda;"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;1;RUB;0.010410663110
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;19;RUB;0.417896832646
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;13;RUB;0.278555216565
01/09/2025;01/05/2023;Boomplay;Kenya;"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;1;RUB;0.020821326298
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;5;RUB;0.021000000039
01/09/2025;01/12/2023;Boomplay;Uganda;"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;2;RUB;0.020821326298
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;3;RUB;0.158105663389
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;1;RUB;0.029101800973
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;1;RUB;0.105813679974
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;5;RUB;0.021000000038
01/09/2025;01/11/2023;Boomplay;Uganda;"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;1;RUB;0.010410663110
01/08/2025;01/07/2025;Yandex;Kyrgyzstan;"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/06/2023;Boomplay;Uganda;"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;1;RUB;0.020821326298
01/08/2025;01/04/2023;Boomplay;Uganda;"трэп хаус квэльчиков";"Minayo, Vano Noir";p1zd3zh;p1zd3zh;3617051291393;FR-X76-22-71079;;"Music Release";Stream;3;RUB;0.060443642008
