"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;26;RUB;0.993261023317
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;62;RUB;1.322256890313
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;3;RUB;0.449116990241
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;40;RUB;0.085307232689
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;11;RUB;0.919233980482
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;7;RUB;0.083561789932
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;16;RUB;1.076438912675
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;33;RUB;0.740277482570
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;234;RUB;5.090293135906
01/09/2025;01/08/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;2;RUB;0.008400000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;1;RUB;0.112972799206
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;2;RUB;0.344812970866
01/07/2025;01/05/2025;TikTok;France;thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Creation;5;RUB;0.348729935573
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;4;RUB;0.606174015570
01/07/2025;01/05/2025;TikTok;Netherlands;thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Creation;1;RUB;0.069745987130
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;5;RUB;0.109972850708
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;4;RUB;0.016800000000
01/08/2025;01/06/2025;TikTok;Belarus;thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Creation;2;RUB;0.132530305194
01/07/2025;01/05/2025;TikTok;Belarus;thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Creation;1;RUB;0.069745987130
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;1;RUB;0.004200000000
01/07/2025;01/05/2025;TikTok;Germany;thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Creation;2;RUB;0.139491974185
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/06/2025;TikTok;"United States";thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Creation;1;RUB;0.066265152634
01/09/2025;01/07/2025;TikTok;Belarus;thqlabel;"Noxero, daybloom";МЕТКА;МЕТКА;3617395950918;FR-X28-25-24383;;"Music Release";Creation;1;RUB;0.067899940593
