"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/09/2025;"YouTube UGC";Ukraine;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;62;RUB;0.681606770534
01/09/2025;01/09/2025;"Apple Music";Kazakhstan;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;22;RUB;2.238909051166
01/09/2025;01/09/2025;"YouTube UGC";Finland;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;2;RUB;0.034397826130
01/09/2025;01/09/2025;"YouTube UGC";Latvia;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;2;RUB;0.459361545799
01/09/2025;01/09/2025;"YouTube UGC";"Czech Republic";thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;7;RUB;0.025695859494
01/09/2025;01/09/2025;"YouTube UGC";Poland;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;3;RUB;0.032142608960
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;8;RUB;0.838559679967
01/09/2025;01/09/2025;"YouTube Official Content";Romania;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.117627576243
01/09/2025;01/09/2025;"YouTube UGC";Mexico;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.011549468790
01/09/2025;01/09/2025;"YouTube UGC";Kazakhstan;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;106;RUB;0.858521628942
01/09/2025;01/09/2025;"YouTube UGC";Belarus;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;20;RUB;0.066358190518
01/09/2025;01/09/2025;"YouTube UGC";"Russian Federation";thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.233196718204
01/09/2025;01/09/2025;"YouTube UGC";"United Arab Emirates";thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.007904666002
01/09/2025;01/09/2025;"YouTube UGC";"United Kingdom";thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;6;RUB;0.163287164090
01/09/2025;01/09/2025;"YouTube Official Content";Ukraine;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;5;RUB;0.813065165911
01/09/2025;01/09/2025;"YouTube UGC";"United States";thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;13;RUB;0.575046186936
01/09/2025;01/09/2025;"YouTube UGC";Jordan;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.010433247886
01/09/2025;01/09/2025;"YouTube UGC";Pakistan;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.003576462681
01/09/2025;01/09/2025;"YouTube UGC";Lithuania;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;8;RUB;0.522790754567
01/09/2025;01/09/2025;"YouTube UGC";France;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;2;RUB;0.003918162986
01/09/2025;01/09/2025;"YouTube UGC";Romania;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;2;RUB;0.206983018756
01/09/2025;01/09/2025;"YouTube UGC";Bulgaria;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;4;RUB;0.103535178617
01/09/2025;01/09/2025;"YouTube UGC";India;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;24;RUB;0.146361606667
01/09/2025;01/09/2025;"YouTube UGC";"Moldova, Republic Of";thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;20;RUB;0.026128688978
01/09/2025;01/09/2025;"YouTube UGC";Israel;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.400048567710
01/09/2025;01/09/2025;"YouTube UGC";Georgia;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;4;RUB;0.007813545935
01/09/2025;01/09/2025;"YouTube UGC";Belgium;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.028087761397
01/09/2025;01/09/2025;"YouTube UGC";Austria;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;2;RUB;0.010979968359
01/09/2025;01/09/2025;"YouTube UGC";Germany;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;13;RUB;0.089388810733
01/09/2025;01/09/2025;"YouTube UGC";Iraq;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;4;RUB;0.018634058716
01/09/2025;01/09/2025;"YouTube UGC";Bangladesh;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;4;RUB;0.007084585409
01/09/2025;01/09/2025;"YouTube UGC";Colombia;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.001503481125
01/09/2025;01/09/2025;"YouTube UGC";Estonia;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;1;RUB;0.027381580750
01/09/2025;01/09/2025;"YouTube UGC";Turkey;thqlabel;"Они Убили Кенни!";"Моя Гитара";"Моя Гитара";3617399509792;FR-X87-25-04240;;"Music Release";Stream;2;RUB;0.111005238403
