"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;64;RUB;1.407652488720
01/08/2025;01/06/2025;TikTok;"Czech Republic";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Creation;1;RUB;0.066265152634
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;10;RUB;1.724064854407
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;44;RUB;5.956785955882
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;15;RUB;2.273152558366
01/09/2025;01/07/2025;TikTok;"United States";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Creation;1;RUB;0.067899940593
01/08/2025;01/06/2025;"Facebook / Instagram";"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Creation;12;RUB;0.361731139643
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;17;RUB;1.417051883580
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;8;RUB;0.173114390899
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;13;RUB;0.344906774459
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;1;RUB;0.456509065809
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;307;RUB;9.371841217286
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;54;RUB;1.847578542834
01/07/2025;01/06/2025;"UMA (Vkontakte)";Belarus;"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Stream;4;RUB;0.016800000000
01/08/2025;01/06/2025;"Facebook / Instagram";Philippines;"Stars Clique";"RS Glizzy";Toxic;Toxic;3617396879188;FR-X28-25-94678;;"Music Release";Creation;6;RUB;0.007417280925
