"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;Yandex;Belarus;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;8;RUB;0.157144469095
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;1;RUB;0.004200000039
01/07/2025;01/06/2025;Soundcloud;Italy;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;1;RUB;0.321409392959
01/07/2025;01/06/2025;Yandex;Kazakhstan;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;4;RUB;0.087978280522
01/07/2025;01/07/2025;"Apple Music";"Russian Federation";"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;3;RUB;0.313608960004
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;1;RUB;5.282914671482
01/09/2025;01/08/2025;Yandex;"Russian Federation";"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;748;RUB;15.439563302786
01/08/2025;01/02/2025;SberZvuk;"Russian Federation";"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;2;RUB;0.611122525313
01/08/2025;01/07/2025;Yandex;Belarus;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;6;RUB;0.128563946147
01/09/2025;01/09/2025;"Apple Music";Turkey;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;2;RUB;0.079848418675
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;9;RUB;1.149418165411
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/08/2025;Yandex;Uzbekistan;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/07/2025;"UMA (Vkontakte)";Kazakhstan;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;2;RUB;0.008400000000
01/08/2025;01/07/2025;Yandex;Kazakhstan;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;2;RUB;0.025250594801
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;68;RUB;3.458826262493
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;151;RUB;6.656559905892
01/08/2025;01/07/2025;Yandex;"Russian Federation";"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;991;RUB;20.568331741831
01/09/2025;01/08/2025;Yandex;Kazakhstan;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;8;RUB;0.120023918648
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;1;RUB;0.131831839992
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;6;RUB;0.606857439991
01/09/2025;01/08/2025;Yandex;Belarus;"SWA EMPIRE / thqlabel";"SWA EMPIRE, флорá";"КЕРАМИЧЕСКИЙ МИШКА";"КЕРАМИЧЕСКИЙ МИШКА";5063181732233;GX-BNP-23-32937;;"Music Release";Stream;6;RUB;0.112138969046
