"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Yandex;Belarus;"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;2;RUB;0.042854648691
01/08/2025;01/07/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;3;RUB;0.064281973111
01/09/2025;01/08/2025;Yandex;Belarus;"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;100;RUB;2.107524327282
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;1;RUB;0.005396400937
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;342;RUB;7.614388283009
01/07/2025;01/06/2025;Yandex;Ukraine;"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;3;RUB;0.009547434490
01/07/2025;01/06/2025;Yandex;Belarus;"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;5;RUB;0.091160758686
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;65;RUB;1.473976092490
01/07/2025;01/06/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;11;RUB;0.241940271527
01/07/2025;01/05/2025;"Facebook / Instagram";Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Creation;6;RUB;0.136247731222
01/08/2025;01/07/2025;"Tencent QQ/CN";"China Mainland";"трэп хаус квэльчиков";"SXNDERMXDE, TW1XX";"FORGIVE ME";TEARS!;3617057378173;FR-96X-23-65251;;"Music Release";Stream;1;RUB;0.036190445870
