"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;1;RUB;0.172406485472
01/09/2025;01/09/2025;"YouTube Official Content";"United States";"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;6;RUB;2.335392271510
01/08/2025;01/05/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;1;RUB;0.000017901345
01/08/2025;01/08/2025;"YouTube Official Content";"United States";"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;1;RUB;0.209646709773
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;10;RUB;0.546619456377
01/08/2025;01/08/2025;"YouTube Official Content";Germany;"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;1;RUB;0.437561416015
01/09/2025;01/09/2025;"YouTube Official Content";Hungary;"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;1;RUB;0.151578681646
01/07/2025;01/07/2025;"YouTube Official Content";Argentina;"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;1;RUB;0.088419517042
01/08/2025;01/08/2025;"YouTube Official Content";Canada;"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;2;RUB;0.485156584985
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;8;RUB;0.324611326852
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;2;RUB;0.008400000000
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;2;RUB;0.000000194714
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, on1t";CVRSXD;CVRSXD;3617051016262;FR-X76-22-41194;;"Music Release";Stream;1;RUB;0.290466406593
