"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;"Facebook / Instagram";Brazil;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";WINTER!;3617057378173;FR-96X-23-65249;;"Music Release";Stream;1;RUB;0.000555008374
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";WINTER!;3617057378173;FR-96X-23-65249;;"Music Release";Stream;8;RUB;0.171418594838
01/09/2025;01/09/2025;"YouTube Official Content";Canada;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";WINTER!;3617057378173;FR-96X-23-65249;;"Music Release";Stream;1;RUB;0.625400791047
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;82;RUB;1.820074925910
01/08/2025;01/04/2024;"Apple Music";France;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;1;RUB;-0.090343566599
01/08/2025;01/07/2025;Yandex;Belarus;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;3;RUB;0.064281973111
01/08/2025;01/08/2025;"YouTube Official Content";"United States";"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;4;RUB;2.332473755010
01/08/2025;01/08/2025;"YouTube Official Content";Mexico;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;1;RUB;0.142661875137
01/08/2025;01/08/2025;"YouTube Official Content";Finland;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";WINTER!;3617057378173;FR-96X-23-65249;;"Music Release";Stream;1;RUB;0.902077179626
01/07/2025;01/06/2025;Yandex;Belarus;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;5;RUB;0.109972850708
01/09/2025;01/08/2025;Yandex;Belarus;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;3;RUB;0.064917896578
01/07/2025;01/07/2025;"YouTube Official Content";Germany;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;1;RUB;0.344533720598
01/08/2025;01/08/2025;"YouTube Official Content";Brazil;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";WINTER!;3617057378173;FR-96X-23-65249;;"Music Release";Stream;1;RUB;0.108319244154
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;28;RUB;0.599965081895
01/08/2025;01/08/2025;"YouTube Official Content";Poland;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;1;RUB;0.172963344594
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;1;RUB;0.004111378550
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";GRAVEYARD!;3617057378173;FR-96X-23-65250;;"Music Release";Stream;22;RUB;0.476064574797
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";WINTER!;3617057378173;FR-96X-23-65249;;"Music Release";Stream;1;RUB;0.015808015966
01/09/2025;01/09/2025;"YouTube Official Content";"United States";"трэп хаус квэльчиков";"SXNDERMXDE, unnic0rn";"FORGIVE ME";WINTER!;3617057378173;FR-96X-23-65249;;"Music Release";Stream;3;RUB;1.546181842992
