"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;14;RUB;0.302950183976
01/09/2025;01/08/2025;Yandex;Kyrgyzstan;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;2;RUB;0.043278597666
01/09/2025;01/09/2025;"Apple Music";Japan;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;1;RUB;0.124204299101
01/08/2025;01/08/2025;"YouTube Official Content";Hungary;thqlabel;Tayfall;"No restart";"No restart";3617399509211;FR-X87-25-04109;;"Music Release";Stream;1;RUB;0.043929932539
01/09/2025;01/09/2025;"YouTube Official Content";"United Kingdom";thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;2;RUB;0.340989523076
01/08/2025;01/07/2025;Yandex;Kazakhstan;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;11;RUB;0.059660028523
01/09/2025;01/09/2025;"YouTube Official Content";Brazil;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;9;RUB;0.092973223606
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;Tayfall;"No restart";"No restart";3617399509211;FR-X87-25-04109;;"Music Release";Stream;10;RUB;0.039424747548
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;2;RUB;0.211627360023
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;11;RUB;0.804771746426
01/09/2025;01/08/2025;Yandex;Azerbaijan;thqlabel;Tayfall;"No restart";"No restart";3617399509211;FR-X87-25-04109;;"Music Release";Stream;1;RUB;0.003942474724
01/09/2025;01/09/2025;"YouTube Official Content";Indonesia;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;8;RUB;0.296165283149
01/09/2025;01/09/2025;"YouTube UGC";Germany;thqlabel;Tayfall;"Tunnel of hope";"Tunnel of hope";3618021236215;DG-A05-25-43062;;"Music Release";Stream;8;RUB;0.028862281918
01/08/2025;01/07/2025;Yandex;Uzbekistan;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;2;RUB;0.007646540836
01/09/2025;01/09/2025;"YouTube UGC";"United States";thqlabel;Tayfall;"Tunnel of hope";"Tunnel of hope";3618021236215;DG-A05-25-43062;;"Music Release";Stream;3;RUB;0.007676870393
01/09/2025;01/09/2025;"Apple Music";Turkey;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;1;RUB;0.039924209338
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;45;RUB;1.413815440819
01/09/2025;01/09/2025;"Apple Music";France;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;1;RUB;0.397425224598
01/09/2025;01/07/2025;TikTok;Germany;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Creation;2;RUB;0.135799881186
01/09/2025;01/09/2025;"YouTube Official Content";Indonesia;thqlabel;Tayfall;"No restart";"No restart";3617399509211;FR-X87-25-04109;;"Music Release";Stream;2;RUB;0.022770905296
01/09/2025;01/09/2025;"YouTube Official Content";Germany;thqlabel;Tayfall;"No restart";"No restart";3617399509211;FR-X87-25-04109;;"Music Release";Stream;5;RUB;0.330489074162
01/07/2025;01/07/2025;"Apple Music";Turkey;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;1;RUB;0.082068086687
01/09/2025;01/09/2025;"YouTube UGC";Canada;thqlabel;Tayfall;"Tunnel of hope";"Tunnel of hope";3618021236215;DG-A05-25-43062;;"Music Release";Stream;1;RUB;0.021208196078
01/09/2025;01/09/2025;"YouTube Official Content";Ukraine;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;6;RUB;0.034180277020
01/08/2025;01/08/2025;"YouTube Official Content";Germany;thqlabel;Tayfall;"No restart";"No restart";3617399509211;FR-X87-25-04109;;"Music Release";Stream;1;RUB;0.285567706957
01/09/2025;01/09/2025;"YouTube Official Content";Romania;thqlabel;Tayfall;"Losing heroes";"Losing heroes";3617398435207;FR-X76-25-16829;;"Music Release";Stream;3;RUB;0.049153582406
01/09/2025;01/09/2025;"YouTube UGC";Colombia;thqlabel;Tayfall;"Tunnel of hope";"Tunnel of hope";3618021236215;DG-A05-25-43062;;"Music Release";Stream;1;RUB;0.001845181430
01/09/2025;01/08/2025;Yandex;Kyrgyzstan;thqlabel;Tayfall;"No restart";"No restart";3617399509211;FR-X87-25-04109;;"Music Release";Stream;3;RUB;0.029524248436
01/09/2025;01/09/2025;"YouTube Official Content";Germany;thqlabel;Tayfall;"Tunnel of hope";"Tunnel of hope";3618021236215;DG-A05-25-43062;;"Music Release";Stream;1;RUB;0.199269340395
