"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Yandex;Turkmenistan;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;8;RUB;0.030586163342
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;3;RUB;0.012600000038
01/07/2025;01/05/2025;"Facebook / Instagram";Worldwide;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Creation;7;RUB;0.158955686363
01/09/2025;01/08/2025;Yandex;"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;112;RUB;2.455629490598
01/07/2025;01/05/2025;TikTok;France;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Creation;1;RUB;0.069745987130
01/07/2025;01/07/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;2;RUB;0.197505840035
01/07/2025;01/06/2025;Yandex;Belarus;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;10;RUB;0.219945701342
01/08/2025;01/07/2025;Yandex;Belarus;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;2;RUB;0.042854648691
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;6;RUB;0.025200000000
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;162;RUB;3.453622491111
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;1;RUB;0.123831576029
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;3;RUB;0.304752000000
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;6;RUB;0.616083439982
01/07/2025;01/06/2025;Yandex;Kazakhstan;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;9;RUB;0.197951131230
01/09/2025;01/08/2025;Yandex;Turkmenistan;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;2;RUB;0.007884949525
01/07/2025;01/06/2025;Yandex;Kyrgyzstan;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;1;RUB;0.021994570186
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;11;RUB;0.707750715298
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;622;RUB;13.642998440623
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;1;RUB;0.172406485472
01/09/2025;01/08/2025;Yandex;Belarus;"DARKI MUZIK";"VADIX, щкёрт";ПРОГУЛКА;ПРОГУЛКА;3617395865052;FR-X28-25-18208;;"Music Release";Stream;2;RUB;0.043278597666
