"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/05/2025;TikTok;France;"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Creation;1;RUB;0.069745987130
01/07/2025;01/05/2025;TikTok;Germany;"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Creation;2;RUB;0.139491974185
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Stream;1;RUB;0.088798865410
01/07/2025;01/05/2025;TikTok;Poland;"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Creation;1;RUB;0.069745987130
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Stream;1;RUB;0.004200000039
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Stream;9;RUB;0.197951131230
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Stream;1;RUB;0.000410969434
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Stream;5;RUB;0.107136621727
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";Virginw0lk;yanastile;yanastile;3617395677914;FR-X28-25-04246;;"Music Release";Stream;4;RUB;0.086557195410
