"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;281;RUB;6.237387238021
01/07/2025;01/06/2025;Yandex;Belarus;"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;5;RUB;0.091160758686
01/09/2025;01/08/2025;Yandex;Belarus;"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;10;RUB;0.198696164378
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;Занятой;3617392244492;FR-59R-25-82891;;"Music Release";Stream;107;RUB;2.209224033062
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;370;RUB;7.758785039386
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;"Грув и Базар";3617392244492;FR-59R-25-82890;;"Music Release";Stream;32;RUB;0.685674379277
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;"Грув и Базар Remix";3617392244492;FR-59R-25-82894;;"Music Release";Stream;8;RUB;0.171418594838
01/08/2025;01/07/2025;Yandex;Belarus;"Million dollar music";Wyzzi;Базар;Занятой;3617392244492;FR-59R-25-82891;;"Music Release";Stream;2;RUB;0.042854648691
01/07/2025;01/06/2025;Yandex;Kazakhstan;"Million dollar music";Wyzzi;Базар;Занятой;3617392244492;FR-59R-25-82891;;"Music Release";Stream;1;RUB;0.021994570186
01/07/2025;01/06/2025;Yandex;Belarus;"Million dollar music";Wyzzi;Базар;Занятой;3617392244492;FR-59R-25-82891;;"Music Release";Stream;3;RUB;0.065983710410
01/09/2025;01/08/2025;Yandex;Kazakhstan;"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;2;RUB;0.043278597666
01/07/2025;01/06/2025;Yandex;Kazakhstan;"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;"Грув и Базар";3617392244492;FR-59R-25-82890;;"Music Release";Stream;22;RUB;0.476064574797
01/08/2025;01/07/2025;Yandex;Belarus;"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;4;RUB;0.068105243566
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;Занятой;3617392244492;FR-59R-25-82891;;"Music Release";Stream;67;RUB;1.579840914546
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;"Грув и Базар";3617392244492;FR-59R-25-82890;;"Music Release";Stream;19;RUB;0.417896832646
01/07/2025;01/06/2025;Yandex;Uzbekistan;"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;2;RUB;0.006364956326
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;"Грув и Базар Remix";3617392244492;FR-59R-25-82894;;"Music Release";Stream;2;RUB;0.043278597666
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;"Грув и Базар Remix";3617392244492;FR-59R-25-82894;;"Music Release";Stream;8;RUB;0.175956561118
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;Занятой;3617392244492;FR-59R-25-82891;;"Music Release";Stream;78;RUB;1.737157233728
01/09/2025;01/08/2025;Yandex;Belarus;"Million dollar music";Wyzzi;Базар;Занятой;3617392244492;FR-59R-25-82891;;"Music Release";Stream;2;RUB;0.043278597666
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;249;RUB;5.497218000495
01/09/2025;01/08/2025;Yandex;Kazakhstan;"Million dollar music";Wyzzi;Базар;Занятой;3617392244492;FR-59R-25-82891;;"Music Release";Stream;2;RUB;0.043278597666
01/08/2025;01/07/2025;Yandex;Uzbekistan;"Million dollar music";Wyzzi;Базар;808;3617392244492;FR-59R-25-82892;;"Music Release";Stream;3;RUB;0.011469811290
