"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/07/2025;TikTok;Uzbekistan;"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Creation;2;RUB;0.135799881186
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Stream;37;RUB;0.792811001004
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Stream;1;RUB;0.105813679974
01/09/2025;01/08/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Stream;12;RUB;0.259671586232
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Stream;1;RUB;0.015390839190
01/08/2025;01/07/2025;Yandex;Armenia;"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Stream;1;RUB;0.021427324346
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Stream;2;RUB;0.062439277351
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Stream;41;RUB;0.901777375553
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Stream;2;RUB;0.084678064118
01/09/2025;01/08/2025;Yandex;Belarus;"DARKI MUZIK";"Yaggi, ILUV, CBmainer";Штраф;Штраф;3617394097188;FR-X20-25-23009;;"Music Release";Stream;1;RUB;0.021639298911
