"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;5;RUB;0.107136621727
01/07/2025;01/07/2025;"YouTube Official Content";"Czech Republic";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;1;RUB;0.022147270298
01/08/2025;01/07/2025;Yandex;Uzbekistan;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;16;RUB;2.685758736381
01/09/2025;01/08/2025;Yandex;Uzbekistan;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;821;RUB;16.758345771223
01/08/2025;01/07/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;2;RUB;0.008400000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;935;RUB;20.164508625520
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;88;RUB;4.875646097460
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;1;RUB;0.071179360023
01/07/2025;01/07/2025;"YouTube UGC";Ukraine;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;2;RUB;0.002606530369
01/08/2025;01/07/2025;NetEase;"China Mainland";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;4;RUB;0.134865200267
01/08/2025;01/08/2025;"YouTube Official Content";Kazakhstan;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;1;RUB;0.006665869626
01/07/2025;01/06/2025;NetEase;"China Mainland";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;2;RUB;0.032616764330
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;60;RUB;1.025911143685
01/07/2025;01/07/2025;"YouTube UGC";Kazakhstan;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;1;RUB;0.002549129759
01/09/2025;01/08/2025;Yandex;"Moldova, Republic Of";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/07/2025;Yandex;Kazakhstan;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;2;RUB;0.042854648691
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;1;RUB;0.234646840553
01/09/2025;01/08/2025;NetEase;"China Mainland";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;3;RUB;0.106719667895
01/07/2025;01/07/2025;"Apple Music";"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;1;RUB;0.104536320026
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;2;RUB;0.008400000000
01/08/2025;01/07/2025;"UMA (Vkontakte)";Belarus;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;6;RUB;0.025200000000
01/09/2025;01/08/2025;"UMA (Vkontakte)";Kyrgyzstan;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;4;RUB;0.016800000000
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;7;RUB;0.151475091988
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;3;RUB;0.064917896578
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;86;RUB;4.817385869439
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;215;RUB;4.597147935318
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"Yukisoru, di4umi";'karoshi;"KAROSHI Bonus";3617397117753;FR-X45-25-14008;;"Music Release";Stream;2;RUB;0.303087007747
