"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;8;RUB;1.212348031138
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;180;RUB;7.194846813955
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;1;RUB;0.305368422180
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;25;RUB;0.482870947039
01/09/2025;01/09/2025;"Apple Music";Ukraine;thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;1;RUB;0.181945950533
01/07/2025;01/07/2025;"YouTube UGC";Ukraine;thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;2;RUB;0.002606530369
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;1;RUB;0.085036292169
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;26;RUB;4.482568621412
01/09/2025;01/08/2025;Yandex;Uzbekistan;thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;3;RUB;0.064917896578
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;5;RUB;0.426717200006
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;2;RUB;0.176993039998
01/09/2025;01/08/2025;"UMA (Vkontakte)";Kyrgyzstan;thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;13;RUB;0.054600000039
01/09/2025;01/08/2025;Yandex;Turkmenistan;thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;1;RUB;0.003942474724
01/09/2025;01/07/2025;"Facebook / Instagram";"Russian Federation";thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Creation;6;RUB;0.162611774579
01/08/2025;01/07/2025;NetEase;"China Mainland";thqlabel;"Yukisoru, oukoo";'karoshi;"О том, как я стал призраком, но попав в её сны я не ожидал что здесь настолько темно, поэтому я прокачал ночноё виденье до 999 уровня, дабы я смог отразить её урон и найти выход домой";3617397117753;FR-X45-25-14002;;"Music Release";Stream;2;RUB;0.067432600171
