"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Zerix;после;роса;3617660703911;DG-A07-24-40143;;"Music Release";Stream;1;RUB;0.000357383544
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;"с днём рождения Remix";3617660703911;DG-A07-24-40137;;"Music Release";Stream;10;RUB;0.216392988566
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Zerix;после;"не в затяг";3617660703911;DG-A07-24-40109;;"Music Release";Stream;1;RUB;0.004618018994
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Zerix;"просто так больно";"просто так больно";4601620993183;RU-AGV-23-05208;;"Music Release";Stream;7;RUB;0.149991270493
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;илюз;3617660703911;DG-A07-24-40103;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/03/2025;JioSaavn;India;thqlabel;Zerix;после;122;3617660703911;DG-A07-24-40145;;"Music Release";Stream;1;RUB;0.027555875753
01/09/2025;01/08/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;Zerix;после;берег;3617660703911;DG-A07-24-40149;;"Music Release";Stream;1;RUB;0.004200000039
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;облако;3617660703911;DG-A07-24-40139;;"Music Release";Stream;20;RUB;0.383455126764
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Zerix;после;услышать;3617660703911;DG-A07-24-40123;;"Music Release";Stream;1;RUB;0.008821544611
01/07/2025;01/06/2025;Yandex;Turkmenistan;thqlabel;Zerix;после;"с днём рождения";3617660703911;DG-A07-24-40101;;"Music Release";Stream;1;RUB;0.003182478163
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Zerix;после;"первый Intro";3617660703911;DG-A07-24-40098;;"Music Release";Stream;1;RUB;0.004200000039
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Zerix;после;2031;3617660703911;DG-A07-24-40099;;"Music Release";Stream;1;RUB;0.042795101295
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;детство;3617660703911;DG-A07-24-40107;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Zerix;после;"дни недели";3617660703911;DG-A07-24-40152;;"Music Release";Stream;1;RUB;0.000796530110
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Zerix;кислота;кислота;4601620984785;DG-A05-24-14323;;"Music Release";Stream;8;RUB;0.097563835602
01/08/2025;01/08/2025;"YouTube Official Content";Ukraine;thqlabel;Zerix;после;БПЛА;3617660703911;DG-A07-24-40153;;"Music Release";Stream;1;RUB;0.043119844214
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;дипресуха));3617660703911;DG-A07-24-40140;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;"не в затяг";3617660703911;DG-A07-24-40109;;"Music Release";Stream;2;RUB;0.076989431249
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;"поодаль реки";3617660703911;DG-A07-24-40127;;"Music Release";Stream;7;RUB;0.135149898983
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;Zerix;после;БПЛА;3617660703911;DG-A07-24-40153;;"Music Release";Stream;5;RUB;0.021000000038
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;пм;3617660703911;DG-A07-24-40150;;"Music Release";Stream;8;RUB;0.175956561118
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;облако;3617660703911;DG-A07-24-40139;;"Music Release";Stream;4;RUB;0.086557195410
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Zerix;после;облако;3617660703911;DG-A07-24-40139;;"Music Release";Stream;1;RUB;0.004200000000
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;керосин;3617660703911;DG-A07-24-40102;;"Music Release";Stream;4;RUB;0.085709297382
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;Zerix;после;вечер;3617660703911;DG-A07-24-40144;;"Music Release";Stream;2;RUB;0.043989140298
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";Zerix;кислота;кислота;4601620984785;DG-A05-24-14323;;"Music Release";Stream;13;RUB;0.285929411752
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;thqlabel;Zerix;после;БПЛА;3617660703911;DG-A07-24-40153;;"Music Release";Stream;5;RUB;0.372320876523
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;"поодаль реки";3617660703911;DG-A07-24-40127;;"Music Release";Stream;4;RUB;0.086557195410
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;Zerix;после;"первый Intro";3617660703911;DG-A07-24-40098;;"Music Release";Stream;1;RUB;0.004200000038
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;Zerix;после;дипресуха));3617660703911;DG-A07-24-40140;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";Zerix;"просто так больно";"просто так больно";4601620993183;RU-AGV-23-05208;;"Music Release";Stream;18;RUB;0.682661019085
01/09/2025;01/09/2025;"YouTube Official Content";Ukraine;thqlabel;Zerix;после;шлак;3617660703911;DG-A07-24-40151;;"Music Release";Stream;1;RUB;0.078945293527
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Zerix;после;детство;3617660703911;DG-A07-24-40107;;"Music Release";Stream;1;RUB;0.083728061667
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;молоко;3617660703911;DG-A07-24-40106;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;Zerix;после;"поодаль реки";3617660703911;DG-A07-24-40127;;"Music Release";Stream;1;RUB;0.004200000039
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;Zerix;после;шиза;3617660703911;DG-A07-24-40115;;"Music Release";Stream;1;RUB;0.010371891719
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;БПЛА;3617660703911;DG-A07-24-40153;;"Music Release";Stream;20;RUB;0.424481829167
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;горизонт;3617660703911;DG-A07-24-40132;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;"первый Intro";3617660703911;DG-A07-24-40098;;"Music Release";Stream;3;RUB;0.064917896578
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;Zerix;после;завет;3617660703911;DG-A07-24-40156;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;Zerix;после;спасения;3617660703911;DG-A07-24-40100;;"Music Release";Stream;1;RUB;0.021639298911
