"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/07/2025;"Facebook / Instagram";Kazakhstan;thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Creation;6;RUB;0.969298989880
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Stream;26;RUB;0.557110433130
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Stream;1;RUB;0.020117920800
01/09/2025;01/09/2025;"YouTube Official Content";Ukraine;thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Stream;1;RUB;0.038724890449
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Stream;2;RUB;0.043278597666
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Stream;3;RUB;0.180806485472
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Stream;11;RUB;0.337211326852
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Stream;56;RUB;1.175259651682
01/07/2025;01/05/2025;TikTok;"United Kingdom";thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Creation;1;RUB;0.069745987130
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"agata.purl, lunsage";модель;модель;3617395315656;FR-X20-25-86274;;"Music Release";Stream;6;RUB;0.467230511696
