"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/08/2025;"YouTube UGC";"Saudi Arabia";thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;1;RUB;0.000580472908
01/09/2025;01/09/2025;"YouTube Official Content";"Czech Republic";thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;74;RUB;27.303445930380
01/08/2025;01/08/2025;"YouTube Official Content";"Moldova, Republic Of";thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;2;RUB;0.018354286889
01/09/2025;01/09/2025;"YouTube UGC";Spain;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;2;RUB;0.025331379230
01/09/2025;01/09/2025;"YouTube Official Content";Luxembourg;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;1;RUB;0.014112220728
01/09/2025;01/08/2025;Spotify;Austria;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;85;RUB;6.670710360854
01/08/2025;01/08/2025;"Apple Music";Israel;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;21;RUB;3.251975660893
01/08/2025;01/08/2025;"YouTube UGC";India;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;6;RUB;0.027556220062
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;3725;RUB;74.023169674934
01/09/2025;01/08/2025;Spotify;Lithuania;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;197;RUB;4.409945620219
01/08/2025;01/08/2025;"YouTube UGC";Japan;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;3;RUB;0.014904880138
01/09/2025;01/08/2025;Spotify;Belgium;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;158;RUB;2.640172873898
01/09/2025;01/09/2025;"YouTube Official Content";Bulgaria;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;2;RUB;0.129234455194
01/09/2025;01/09/2025;"YouTube Official Content";Lithuania;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;4;RUB;0.671941778892
01/09/2025;01/08/2025;SberZvuk;Netherlands;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;1;RUB;0.000000097358
01/09/2025;01/08/2025;"Facebook / Instagram";Portugal;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;1;RUB;0.000006802000
01/09/2025;01/09/2025;"YouTube Official Content";Austria;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;4;RUB;0.555985016721
01/09/2025;01/08/2025;Spotify;Thailand;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;5;RUB;0.082507013596
01/09/2025;01/09/2025;"Apple Music";"United States";thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;92;RUB;24.220320969445
01/09/2025;01/08/2025;"UMA (Vkontakte)";Ukraine;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;2;RUB;0.008400000000
01/09/2025;01/08/2025;Spotify;Egypt;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;300;RUB;9.720146881307
01/09/2025;01/08/2025;"Facebook / Instagram";Israel;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;13;RUB;0.090720018226
01/08/2025;01/08/2025;"YouTube UGC";Bulgaria;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;1;RUB;0.001476895736
01/08/2025;01/08/2025;"YouTube UGC";Israel;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;3;RUB;0.030999119786
01/08/2025;01/08/2025;"YouTube UGC";Portugal;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;2;RUB;0.041531110018
01/09/2025;01/09/2025;"YouTube UGC";Lithuania;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;11;RUB;0.074845314109
01/08/2025;01/08/2025;"YouTube UGC";Finland;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;10;RUB;0.043674963122
01/09/2025;01/09/2025;"YouTube UGC";Portugal;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;2;RUB;0.014473502690
01/08/2025;01/08/2025;"YouTube UGC";Netherlands;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;5;RUB;0.004327811450
01/09/2025;01/09/2025;"YouTube Official Content";Spain;thqlabel;angelgrind;"не в сети";"не в сети";3617399534275;FR-X87-25-06659;;"Music Release";Stream;4;RUB;0.434297612976
