"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/08/2025;"YouTube Official Content";Ukraine;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;4;RUB;0.360714457955
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;1;RUB;0.072385040009
01/08/2025;01/08/2025;"YouTube UGC";Estonia;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;1;RUB;0.001766085094
01/09/2025;01/09/2025;"YouTube UGC";Kazakhstan;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;2;RUB;0.003041665432
01/08/2025;01/08/2025;"YouTube UGC";Ukraine;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;24;RUB;0.043330185347
01/08/2025;01/08/2025;"YouTube Official Content";"United States";thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;2;RUB;0.116513846352
01/08/2025;01/08/2025;"YouTube UGC";Poland;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;2;RUB;0.003845188406
01/08/2025;01/08/2025;"YouTube UGC";Canada;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;1;RUB;0.001509524113
01/08/2025;01/08/2025;"YouTube UGC";"Russian Federation";thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;1;RUB;0.000745576583
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;7;RUB;0.740695759969
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;3;RUB;0.064917896578
01/08/2025;01/08/2025;"Apple Music";"United States";thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;72;RUB;13.818246986191
01/09/2025;01/08/2025;Yandex;Uzbekistan;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;Yandex;Ukraine;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;1;RUB;0.003942474724
01/08/2025;01/08/2025;"Apple Music";Turkey;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;9;RUB;0.681784668837
01/08/2025;01/08/2025;"YouTube Official Content";"Moldova, Republic Of";thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;1;RUB;0.089850367845
01/09/2025;01/09/2025;"YouTube UGC";Slovakia;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;1;RUB;0.001747327593
01/08/2025;01/08/2025;"YouTube UGC";Latvia;thqlabel;"athysue, bywho";"re: doll";"re: doll";3617399308029;FR-X76-25-86425;;"Music Release";Stream;1;RUB;0.003617120469
