"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Spotify;Switzerland;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;1;RUB;0.015939802315
01/09/2025;01/08/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;1;RUB;0.004200000039
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";"BUBBLEGUM Bonus Track";3617667208471;DG-A0S-24-57110;;"Music Release";Stream;2;RUB;0.043278597666
01/09/2025;01/08/2025;Spotify;Norway;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;2;RUB;0.036865940680
01/08/2025;01/08/2025;"Apple Music";Ukraine;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;3;RUB;0.296918390466
01/08/2025;01/07/2025;Spotify;Turkey;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;15;RUB;0.032576970958
01/07/2025;01/06/2025;Spotify;Indonesia;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;2;RUB;0.013019369949
01/08/2025;01/07/2025;"UMA (Vkontakte)";Belarus;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;1;RUB;0.004200000038
01/09/2025;01/08/2025;Spotify;Latvia;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;1;RUB;0.006438558685
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;236;RUB;7.824977395869
01/08/2025;01/07/2025;Spotify;"United States";thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;53;RUB;7.039714072224
01/07/2025;01/07/2025;"YouTube Official Content";Estonia;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;15;RUB;0.552817703199
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;257;RUB;4.342401093701
01/07/2025;01/06/2025;Spotify;Japan;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;1;RUB;0.079295332519
01/07/2025;01/06/2025;Yandex;Kazakhstan;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;5;RUB;0.109972850708
01/07/2025;01/06/2025;Spotify;Finland;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;11;RUB;0.279056664917
01/07/2025;01/06/2025;Spotify;Belarus;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;16;RUB;0.793248113401
01/08/2025;01/07/2025;Spotify;Portugal;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;3;RUB;0.549225807985
01/08/2025;01/02/2025;SberZvuk;"Russian Federation";thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;16;RUB;4.888980202654
01/09/2025;01/09/2025;"YouTube Official Content";"Korea, Republic Of";thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";"BUBBLEGUM Bonus Track";3617667208471;DG-A0S-24-57110;;"Music Release";Stream;2;RUB;0.506759417531
01/09/2025;01/08/2025;Spotify;Estonia;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;5;RUB;0.747859355787
01/07/2025;01/06/2025;Yandex;Turkmenistan;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;2;RUB;0.006364956326
01/09/2025;01/08/2025;Spotify;Peru;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;2;RUB;0.003426974770
01/08/2025;01/03/2025;SberZvuk;"Russian Federation";thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";"BUBBLEGUM Bonus Track";3617667208471;DG-A0S-24-57110;;"Music Release";Stream;4;RUB;1.367616616796
01/09/2025;01/08/2025;Spotify;Canada;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;1;RUB;0.151617671274
01/07/2025;01/06/2025;Spotify;India;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;11;RUB;0.416030267750
01/09/2025;01/08/2025;Spotify;Turkey;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;7;RUB;0.073212642733
01/09/2025;01/09/2025;"YouTube Official Content";Ukraine;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";"BUBBLEGUM Bonus Track";3617667208471;DG-A0S-24-57110;;"Music Release";Stream;6;RUB;0.571141833101
01/07/2025;01/06/2025;Spotify;Canada;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";"Platform Promotion";1;RUB;-0.053482799803
01/07/2025;01/07/2025;"YouTube Official Content";"South Africa";thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;1;RUB;0.010368742606
01/07/2025;01/06/2025;Spotify;Italy;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";"Platform Promotion";2;RUB;-0.096997605001
01/07/2025;01/06/2025;Spotify;Turkey;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;4;RUB;0.026677421059
01/08/2025;01/07/2025;Spotify;Georgia;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";"BUBBLEGUM Bonus Track";3617667208471;DG-A0S-24-57110;;"Music Release";Stream;2;RUB;0.252944737764
01/07/2025;01/06/2025;Spotify;Netherlands;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;30;RUB;1.585857486758
01/07/2025;01/07/2025;"YouTube UGC";Ukraine;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;2;RUB;0.002117804934
01/07/2025;01/06/2025;Spotify;Canada;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;7;RUB;0.800224520755
01/09/2025;01/08/2025;Spotify;Ukraine;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;28;RUB;1.268707590457
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;1;RUB;6.013973842992
01/08/2025;01/07/2025;Spotify;Germany;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";"BUBBLEGUM Bonus Track";3617667208471;DG-A0S-24-57110;;"Music Release";Stream;2;RUB;0.114916012198
01/08/2025;01/07/2025;Spotify;Poland;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";"BUBBLEGUM Bonus Track";3617667208471;DG-A0S-24-57110;;"Music Release";Stream;3;RUB;0.157106676467
01/07/2025;01/06/2025;Spotify;Poland;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;12;RUB;0.691942676254
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Moldova, Republic Of";thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;1;RUB;0.004200000039
01/08/2025;01/07/2025;Spotify;Finland;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;32;RUB;0.484520257739
01/07/2025;01/06/2025;Spotify;Germany;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";LOBOTOMY;3617667208471;DG-A0S-24-57096;;"Music Release";Stream;24;RUB;3.171272899604
01/07/2025;01/06/2025;Spotify;India;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";MERTVA;3617667208471;DG-A0S-24-57103;;"Music Release";Stream;12;RUB;0.476312426780
01/07/2025;01/06/2025;Spotify;Kazakhstan;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";"BUBBLEGUM Bonus Track";3617667208471;DG-A0S-24-57110;;"Music Release";Stream;15;RUB;0.406646524915
01/07/2025;01/06/2025;Spotify;Netherlands;thqlabel;"athysue, kweetee";"made it lovely & fairly sadistic";"BUBBLEGUM Bonus Track";3617667208471;DG-A0S-24-57110;;"Music Release";Stream;16;RUB;0.799880612844
