"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Spotify;Taiwan;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;4;RUB;0.146695993089
01/09/2025;01/08/2025;Spotify;"Moldova, Republic Of";thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;1;RUB;0.006802025654
01/08/2025;01/07/2025;Spotify;Paraguay;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;3;RUB;0.002889084193
01/09/2025;01/08/2025;Spotify;"Hong Kong";thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;9;RUB;0.842724232547
01/09/2025;01/08/2025;Spotify;Georgia;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;11;RUB;1.470016416611
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;161;RUB;6.641647520311
01/08/2025;01/08/2025;"Apple Music";Mexico;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;1;RUB;0.150496284376
01/09/2025;01/08/2025;Spotify;Brazil;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;3;RUB;0.125915360577
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;5;RUB;0.108196494322
01/09/2025;01/09/2025;"Apple Music";Turkey;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;1;RUB;0.039924209338
01/09/2025;01/08/2025;Spotify;"Viet Nam";thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;1;RUB;0.000571162436
01/08/2025;01/07/2025;Spotify;"New Zealand";thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;4;RUB;0.379616354162
01/08/2025;01/07/2025;Spotify;Belarus;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;26;RUB;0.456525945110
01/08/2025;01/07/2025;Spotify;Spain;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;2;RUB;0.041642733514
01/08/2025;01/07/2025;Spotify;Philippines;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;1;RUB;0.001394732730
01/09/2025;01/08/2025;Spotify;Austria;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;2;RUB;0.486786187656
01/09/2025;01/08/2025;Spotify;Philippines;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;11;RUB;0.222753359418
01/08/2025;01/07/2025;Spotify;India;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;23;RUB;0.743641589136
01/09/2025;01/08/2025;Spotify;Denmark;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;2;RUB;0.202814597199
01/08/2025;01/07/2025;Spotify;Israel;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;2;RUB;0.419714919374
01/08/2025;01/07/2025;Spotify;Nigeria;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;145;RUB;2.035114353425
01/08/2025;01/07/2025;Yandex;Turkmenistan;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;2;RUB;0.007646540836
01/09/2025;01/07/2025;TikTok;"United States";thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Creation;1;RUB;0.067899940593
01/09/2025;01/08/2025;Spotify;Switzerland;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;8;RUB;1.653826865496
01/07/2025;01/07/2025;"Apple Music";Mexico;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;3;RUB;0.229784334234
01/08/2025;01/07/2025;Spotify;Ireland;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;1;RUB;0.135986438416
01/08/2025;01/07/2025;Spotify;Canada;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;43;RUB;5.220833159247
01/08/2025;01/07/2025;Spotify;"United States";thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;496;RUB;76.764543690370
01/09/2025;01/08/2025;Spotify;Turkey;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;2;RUB;0.003478898656
01/09/2025;01/08/2025;Spotify;Finland;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;18;RUB;0.588868496502
01/09/2025;01/09/2025;"YouTube Official Content";Austria;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;1;RUB;0.339900606438
01/09/2025;01/08/2025;Spotify;Poland;thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;70;RUB;6.980851348232
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;271;RUB;6.138211031782
01/09/2025;01/08/2025;NetEase;"China Mainland";thqlabel;"athysue, seph";violent;violent;3617398377897;FR-X76-25-13535;;"Music Release";Stream;1;RUB;0.035573222632
