"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;1;RUB;0.172406485472
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;1;RUB;0.151543503911
01/09/2025;01/08/2025;"UMA Video";"Russian Federation";"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;5;RUB;0.007714669224
01/08/2025;01/07/2025;"UMA Video";"Russian Federation";"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;4;RUB;0.009026214861
01/09/2025;01/08/2025;"UMA Video";Belarus;"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;1;RUB;0.001542933860
01/07/2025;01/06/2025;"UMA Video";"Russian Federation";"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;6;RUB;0.010874393024
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;1;RUB;0.016144442625
01/08/2025;01/07/2025;"UMA Video";Kazakhstan;"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;1;RUB;0.002256553734
01/09/2025;01/08/2025;"Yandex Video";"Russian Federation";"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;34;RUB;0.216062454746
01/08/2025;01/07/2025;"Yandex Video";"Russian Federation";"Stars Clique";bezdxrnost;"bezdxrnost - Мальчик";Мальчик;5063287463314;UK-EX3-25-05116;;"Music Video";Stream;10;RUB;0.076441232582
