"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/06/2025;"Facebook / Instagram";"United States";thqlabel;deivo;"world still falling in my eyes";"track number one";3617397023283;FR-X45-25-07433;;"Music Release";Creation;7;RUB;1.026941774082
01/07/2025;01/07/2025;"YouTube Official Content";"South Africa";thqlabel;deivo;"world still falling in my eyes";"track number one";3617397023283;FR-X45-25-07433;;"Music Release";Stream;1;RUB;0.065714179752
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;deivo;"world still falling in my eyes";"track number one";3617397023283;FR-X45-25-07433;;"Music Release";Stream;1;RUB;0.003182478163
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;deivo;"world still falling in my eyes";hz;3617397023283;FR-X45-25-07435;;"Music Release";Stream;31;RUB;0.664247054932
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;deivo;"world still falling in my eyes";"track number one";3617397023283;FR-X45-25-07433;;"Music Release";Stream;24;RUB;0.514255784439
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;deivo;"world still falling in my eyes";"tipa track number dwa";3617397023283;FR-X45-25-07434;;"Music Release";Stream;2;RUB;0.155743503948
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;deivo;"world still falling in my eyes";hz;3617397023283;FR-X45-25-07435;;"Music Release";Stream;3;RUB;0.012600000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;deivo;"world still falling in my eyes";"track number one";3617397023283;FR-X45-25-07433;;"Music Release";Stream;6;RUB;0.129835793155
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;deivo;"world still falling in my eyes";hz;3617397023283;FR-X45-25-07435;;"Music Release";Stream;3;RUB;0.307287007785
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;deivo;"world still falling in my eyes";"tipa track number dwa";3617397023283;FR-X45-25-07434;;"Music Release";Stream;11;RUB;0.223128179505
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;deivo;"world still falling in my eyes";untitled_4;3617397023283;FR-X45-25-07436;;"Music Release";Stream;1;RUB;0.004200000039
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;deivo;"world still falling in my eyes";"tipa track number dwa";3617397023283;FR-X45-25-07434;;"Music Release";Stream;4;RUB;0.016800000000
01/08/2025;01/06/2025;"Facebook / Instagram";Spain;thqlabel;deivo;"world still falling in my eyes";"track number one";3617397023283;FR-X45-25-07433;;"Music Release";Creation;6;RUB;0.238936922653
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;deivo;"world still falling in my eyes";"track number one";3617397023283;FR-X45-25-07433;;"Music Release";Stream;1;RUB;0.000816875670
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;deivo;"world still falling in my eyes";untitled_4;3617397023283;FR-X45-25-07436;;"Music Release";Stream;14;RUB;0.299982540910
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;deivo;"world still falling in my eyes";untitled_4;3617397023283;FR-X45-25-07436;;"Music Release";Stream;7;RUB;0.135149898983
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;deivo;"world still falling in my eyes";hz;3617397023283;FR-X45-25-07435;;"Music Release";Stream;17;RUB;0.373907692274
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;deivo;"world still falling in my eyes";"tipa track number dwa";3617397023283;FR-X45-25-07434;;"Music Release";Stream;3;RUB;0.064917896578
01/08/2025;01/06/2025;"Facebook / Instagram";Japan;thqlabel;deivo;"world still falling in my eyes";"track number one";3617397023283;FR-X45-25-07433;;"Music Release";Creation;6;RUB;0.387431501370
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;deivo;"world still falling in my eyes";hz;3617397023283;FR-X45-25-07435;;"Music Release";Stream;1;RUB;0.000612656870
