"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/08/2025;"YouTube Official Content";Germany;"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;1;RUB;0.162017664788
01/08/2025;01/08/2025;"YouTube Official Content";Belarus;"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;2;RUB;0.012984558553
01/09/2025;01/08/2025;Yandex;Belarus;"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/08/2025;"YouTube Official Content";Latvia;"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;1;RUB;0.035690177016
01/09/2025;01/08/2025;"UMA (Vkontakte)";Tajikistan;"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;1;RUB;0.004200000039
01/08/2025;01/08/2025;"Apple Music";"United States";"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;6;RUB;2.094488793317
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;6;RUB;0.025200000000
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;8;RUB;1.251954300046
01/08/2025;01/08/2025;"YouTube Official Content";Ukraine;"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;3;RUB;0.045804708381
01/08/2025;01/08/2025;"YouTube Official Content";"Macedonia, The Former Yugoslav Republic Of";"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;1;RUB;0.006064089736
01/09/2025;01/08/2025;Yandex;"Russian Federation";"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;111;RUB;2.416848204606
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";"derty, Paskeka";"забыть тебя";"забыть тебя";3617399506128;FR-X87-25-03780;;"Music Release";Stream;145;RUB;5.975534624615
