"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;10;RUB;0.216392988566
01/08/2025;01/06/2025;"Facebook / Instagram";Worldwide;thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Creation;6;RUB;0.128492557675
01/07/2025;01/07/2025;"YouTube Official Content";Germany;thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;1;RUB;0.162557325551
01/07/2025;01/07/2025;"YouTube Official Content";Kazakhstan;thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;1;RUB;0.014302497914
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;1;RUB;0.000006947257
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;13;RUB;0.108639277351
01/08/2025;01/08/2025;"Apple Music";Japan;thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;1;RUB;0.198240546038
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;10;RUB;0.214273243529
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;6;RUB;0.614574015570
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;1;RUB;0.004200000000
01/07/2025;01/07/2025;"YouTube Official Content";Denmark;thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;1;RUB;0.046909464627
01/07/2025;01/07/2025;"YouTube Official Content";Portugal;thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;1;RUB;0.048160080474
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;1;RUB;0.012485701474
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;25;RUB;0.512240069494
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;2;RUB;0.000000194714
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, Yukisoru";"в поле звёзды светят ярче";поле;3617395827463;FR-X28-25-14801;;"Music Release";Stream;1;RUB;0.004200000039
