"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/08/2025;"Apple Music";Turkey;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.088347450207
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.172406485472
01/07/2025;01/07/2025;"YouTube Official Content";Colombia;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.007935726195
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;24;RUB;0.501646348432
01/07/2025;01/07/2025;"YouTube Official Content";Germany;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;2;RUB;0.281002018273
01/07/2025;01/07/2025;"YouTube Official Content";"Korea, Republic Of";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;2;RUB;0.441934084575
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;4;RUB;0.355022080051
01/07/2025;01/07/2025;"YouTube Official Content";Kuwait;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.023875394017
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;2;RUB;0.046545649092
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.000006947257
01/07/2025;01/07/2025;"YouTube Official Content";Belarus;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;5;RUB;0.036040475698
01/07/2025;01/07/2025;"YouTube Official Content";"Viet Nam";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.069738889018
01/07/2025;01/07/2025;"YouTube Official Content";Bangladesh;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;2;RUB;0.021897147100
01/07/2025;01/07/2025;"YouTube Official Content";Brazil;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;3;RUB;0.052434913013
01/08/2025;01/07/2025;"UMA (Vkontakte)";Azerbaijan;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/07/2025;"YouTube Official Content";Indonesia;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.036631675980
01/07/2025;01/07/2025;"YouTube Official Content";Greece;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.296327747434
01/07/2025;01/07/2025;"YouTube Official Content";Chile;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.045818018022
01/07/2025;01/07/2025;"YouTube Official Content";"Saudi Arabia";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.027559026274
01/07/2025;01/07/2025;"YouTube Official Content";Kazakhstan;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;2;RUB;0.023352409167
01/08/2025;01/08/2025;"YouTube UGC";"Korea, Republic Of";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.001174678802
01/07/2025;01/07/2025;"YouTube Official Content";Iraq;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.003569939847
01/07/2025;01/07/2025;"YouTube Official Content";"United States";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;3;RUB;0.276909093575
01/09/2025;01/07/2025;"Facebook / Instagram";"Russian Federation";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Creation;6;RUB;0.162611774579
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;51;RUB;1.057585434059
01/08/2025;01/07/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/07/2025;"YouTube Official Content";India;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;50;RUB;0.292530401174
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;18;RUB;0.395666007444
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;17;RUB;0.303570321074
01/07/2025;01/07/2025;"YouTube Official Content";Philippines;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;10;RUB;0.064941071703
01/07/2025;01/07/2025;"YouTube Official Content";Japan;thqlabel;"destroy sally, krisalys";"night is inevitable";Музыка;3617397771900;FR-X45-25-68753;;"Music Release";Stream;2;RUB;0.165854403746
