"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;2;RUB;0.008400000000
01/08/2025;01/08/2025;"YouTube Official Content";Georgia;thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;1;RUB;0.008471209374
01/07/2025;01/07/2025;"YouTube Official Content";Indonesia;thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;1;RUB;0.013120097498
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;40;RUB;0.414575263278
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;1;RUB;0.172406485472
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;4;RUB;0.000000389585
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;49;RUB;0.353143503911
01/07/2025;01/07/2025;"YouTube Official Content";Estonia;thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;1;RUB;0.255536611856
01/08/2025;01/08/2025;"YouTube UGC";"Korea, Republic Of";thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;1;RUB;0.001174678802
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;1;RUB;0.151543503911
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;75;RUB;1.587553765982
01/09/2025;01/07/2025;"Facebook / Instagram";"United States";thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Creation;6;RUB;0.922243465139
01/08/2025;01/07/2025;"UMA (Vkontakte)";Belarus;thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;1;RUB;0.004200000038
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"destroy sally, maryy";"night is inevitable";"Пока существует момент";3617397771900;FR-X45-25-68752;;"Music Release";Stream;123;RUB;2.600352787451
