"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;di4umi;4444;три;3617391549215;FR-59R-25-46996;;"Music Release";Stream;23;RUB;0.574751743046
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;di4umi;ржав;"хочу быть в своих стенах";3617398724486;FR-X76-25-37606;;"Music Release";Stream;14;RUB;0.058800000000
01/08/2025;01/08/2025;"YouTube UGC";Ukraine;thqlabel;di4umi;"четвертый трек с ржав";"четвертый трек с ржав";3617398109825;FR-X45-25-93104;;"Music Release";Stream;2;RUB;0.002694307530
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;di4umi;ржав;"хочу быть в своих стенах";3617398724486;FR-X76-25-37606;;"Music Release";Stream;125;RUB;2.421763171510
01/08/2025;01/08/2025;"YouTube UGC";Lithuania;thqlabel;di4umi;ржав;"какая досада";3617398724486;FR-X76-25-37609;;"Music Release";Stream;1;RUB;0.439323273201
01/09/2025;01/08/2025;Spotify;Brazil;thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;1;RUB;0.050158448826
01/08/2025;01/08/2025;"YouTube UGC";Kazakhstan;thqlabel;di4umi;ржав;"какая досада";3617398724486;FR-X76-25-37609;;"Music Release";Stream;2;RUB;0.123111382046
01/08/2025;01/08/2025;"YouTube UGC";Germany;thqlabel;di4umi;ржав;"в каналах";3617398724486;FR-X76-25-37604;;"Music Release";Stream;4;RUB;0.012035597962
01/08/2025;01/08/2025;"YouTube UGC";Ukraine;thqlabel;di4umi;ржав;конец;3617398724486;FR-X76-25-37610;;"Music Release";Stream;2;RUB;0.002694307530
01/09/2025;01/08/2025;Spotify;Ukraine;thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;6;RUB;0.037592874696
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;di4umi;ржав;"какая досада";3617398724486;FR-X76-25-37609;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;2;RUB;0.142358720046
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;di4umi;4444;один;3617391549215;FR-59R-25-46994;;"Music Release";Stream;11;RUB;0.482716990241
01/08/2025;01/04/2025;SberZvuk;"Russian Federation";thqlabel;di4umi;4444;три;3617391549215;FR-59R-25-46996;;"Music Release";Stream;1;RUB;0.352322609594
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;di4umi;4444;два;3617391549215;FR-59R-25-46995;;"Music Release";Stream;4;RUB;0.016800000000
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;di4umi;ржав;конец;3617398724486;FR-X76-25-37610;;"Music Release";Stream;1;RUB;0.083561205633
01/08/2025;01/08/2025;"YouTube UGC";Estonia;thqlabel;di4umi;ржав;"какая досада";3617398724486;FR-X76-25-37609;;"Music Release";Stream;2;RUB;0.011682906449
01/09/2025;01/09/2025;"YouTube UGC";"United States";thqlabel;di4umi;4444;три;3617391549215;FR-59R-25-46996;;"Music Release";Stream;2;RUB;0.033349945334
01/08/2025;01/08/2025;"YouTube UGC";Ireland;thqlabel;di4umi;ржав;"в каналах";3617398724486;FR-X76-25-37604;;"Music Release";Stream;1;RUB;0.009610843798
01/09/2025;01/09/2025;"YouTube UGC";Latvia;thqlabel;di4umi;ржав;конец;3617398724486;FR-X76-25-37610;;"Music Release";Stream;1;RUB;0.003120862430
01/09/2025;01/09/2025;"YouTube Official Content";"United States";thqlabel;di4umi;4444;один;3617391549215;FR-59R-25-46994;;"Music Release";Stream;1;RUB;0.037289749354
01/07/2025;01/07/2025;"YouTube UGC";Japan;thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;1;RUB;0.563917675969
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;di4umi;4444;три;3617391549215;FR-59R-25-46996;;"Music Release";Stream;7;RUB;0.029400000039
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;di4umi;"четвертый трек с ржав";"четвертый трек с ржав";3617398109825;FR-X45-25-93104;;"Music Release";Stream;120;RUB;0.750253201594
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;di4umi;ржав;"а я уже так делал раньше";3617398724486;FR-X76-25-37608;;"Music Release";Stream;8;RUB;1.379251883542
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;di4umi;4444;три;3617391549215;FR-59R-25-46996;;"Music Release";Stream;1;RUB;0.061715370897
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;di4umi;4444;два;3617391549215;FR-59R-25-46995;;"Music Release";Stream;1;RUB;0.021639298911
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;di4umi;4444;три;3617391549215;FR-59R-25-46996;;"Music Release";Stream;93;RUB;2.073951537582
01/09/2025;01/08/2025;Spotify;"United States";thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;15;RUB;1.763957377858
01/08/2025;01/08/2025;"YouTube UGC";Ukraine;thqlabel;di4umi;ржав;"в каналах";3617398724486;FR-X76-25-37604;;"Music Release";Stream;2;RUB;0.002694307530
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;6;RUB;0.025200000000
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;di4umi;ржав;"не поняли";3617398724486;FR-X76-25-37605;;"Music Release";Stream;8;RUB;0.031539798101
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;di4umi;ржав;"не поняли";3617398724486;FR-X76-25-37605;;"Music Release";Stream;257;RUB;3.808186242682
01/09/2025;01/08/2025;Spotify;Nigeria;thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;5;RUB;0.081676226745
01/09/2025;01/08/2025;Spotify;Japan;thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;1;RUB;0.014798300142
01/08/2025;01/08/2025;"YouTube UGC";Ukraine;thqlabel;di4umi;ржав;"хочу быть в своих стенах";3617398724486;FR-X76-25-37606;;"Music Release";Stream;2;RUB;0.002694307530
01/09/2025;01/08/2025;Spotify;"United Kingdom";thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;53;RUB;4.225771506925
01/09/2025;01/08/2025;Yandex;Turkmenistan;thqlabel;di4umi;ржав;"не поняли";3617398724486;FR-X76-25-37605;;"Music Release";Stream;1;RUB;0.003942474724
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;di4umi;4444;два;3617391549215;FR-59R-25-46995;;"Music Release";Stream;71;RUB;1.394815625993
01/09/2025;01/09/2025;"YouTube UGC";Kazakhstan;thqlabel;di4umi;ржав;конец;3617398724486;FR-X76-25-37610;;"Music Release";Stream;1;RUB;0.001981861490
01/07/2025;01/07/2025;"YouTube UGC";"United States";thqlabel;di4umi;4444;три;3617391549215;FR-59R-25-46996;;"Music Release";Stream;1;RUB;0.011520825084
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;thqlabel;di4umi;4444;два;3617391549215;FR-59R-25-46995;;"Music Release";Stream;8;RUB;0.033600000000
01/08/2025;01/07/2025;Yandex;Uzbekistan;thqlabel;di4umi;"четвертый трек с ржав";"четвертый трек с ржав";3617398109825;FR-X45-25-93104;;"Music Release";Stream;1;RUB;0.003823270455
01/09/2025;01/09/2025;"YouTube UGC";India;thqlabel;di4umi;ржав;конец;3617398724486;FR-X76-25-37610;;"Music Release";Stream;1;RUB;0.080959999299
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;di4umi;4444;четыре;3617391549215;FR-59R-25-46997;;"Music Release";Stream;14;RUB;0.349811326852
