"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;41;RUB;3.056325439308
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;3;RUB;0.188749355707
01/09/2025;01/08/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;1;RUB;0.004200000039
01/09/2025;01/07/2025;"Facebook / Instagram";Kazakhstan;thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Creation;6;RUB;0.969298989880
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;46;RUB;3.103313268150
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;1;RUB;0.067419565018
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;15;RUB;0.735825941849
01/07/2025;01/07/2025;"YouTube Official Content";Germany;thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;1;RUB;0.257399485981
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;76;RUB;1.671587330360
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;2;RUB;0.042854648691
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;1;RUB;0.004200000000
01/08/2025;01/07/2025;Yandex;Uzbekistan;thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;1;RUB;0.615184930969
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;53;RUB;1.317098810399
01/07/2025;01/04/2025;"Facebook / Instagram";Worldwide;thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Creation;12;RUB;0.261636961795
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"evee, gloss";"желтые тюльпаны";"желтые тюльпаны";3617390072356;FR-2X4-25-21766;;"Music Release";Stream;19;RUB;0.460871521042
