"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;frommee;from_me;we/are/not/alone/here;3617399230290;FR-X76-25-79522;;"Music Release";Stream;54;RUB;1.062341193658
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;frommee;from_me;we/are/not/alone/here;3617399230290;FR-X76-25-79522;;"Music Release";Stream;5;RUB;0.357412970905
01/09/2025;01/08/2025;NetEase;"China Mainland";thqlabel;frommee;from_me;we/are/not/alone/here;3617399230290;FR-X76-25-79522;;"Music Release";Stream;3;RUB;0.106719667895
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;frommee;from_me;pluvia;3617399230290;FR-X76-25-79519;;"Music Release";Stream;1;RUB;0.003942474724
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;frommee;from_me;stars;3617399230290;FR-X76-25-79524;;"Music Release";Stream;5;RUB;0.189206485472
01/09/2025;01/08/2025;Yandex;Uzbekistan;thqlabel;frommee;from_me;pluvia;3617399230290;FR-X76-25-79519;;"Music Release";Stream;2;RUB;0.043278597666
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;frommee;from_me;pluvia;3617399230290;FR-X76-25-79519;;"Music Release";Stream;11;RUB;0.550819456338
01/09/2025;01/08/2025;NetEase;"China Mainland";thqlabel;frommee;from_me;pluvia;3617399230290;FR-X76-25-79519;;"Music Release";Stream;7;RUB;0.249012558499
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;frommee;from_me;stars;3617399230290;FR-X76-25-79524;;"Music Release";Stream;55;RUB;1.083980492570
01/09/2025;01/08/2025;NetEase;"China Mainland";thqlabel;frommee;from_me;stars;3617399230290;FR-X76-25-79524;;"Music Release";Stream;2;RUB;0.071146445263
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;frommee;from_me;pluvia;3617399230290;FR-X76-25-79519;;"Music Release";Stream;71;RUB;1.447906098243
01/08/2025;01/08/2025;"YouTube Official Content";Singapore;thqlabel;frommee;from_me;stars;3617399230290;FR-X76-25-79524;;"Music Release";Stream;1;RUB;0.056451583542
