"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/08/2025;"Apple Music";Turkey;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.031676258654
01/08/2025;01/07/2025;"Facebook / Instagram";Finland;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;3;RUB;0.009947602258
01/09/2025;01/08/2025;Yandex;Uzbekistan;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;8;RUB;0.173114390899
01/09/2025;01/08/2025;Spotify;"United Kingdom";thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;2;RUB;0.404538793335
01/09/2025;01/08/2025;Spotify;Ukraine;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;8;RUB;0.536840788710
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;3218;RUB;67.764841928878
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;423;RUB;8.603071929637
01/09/2025;01/08/2025;Spotify;Mexico;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.061529774122
01/07/2025;01/07/2025;"Apple Music";Philippines;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;2;RUB;0.178954488606
01/07/2025;01/07/2025;"YouTube UGC";Romania;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.005568036390
01/09/2025;01/08/2025;Yandex;Uzbekistan;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;10;RUB;0.216392988566
01/08/2025;01/07/2025;Yandex;"Moldova, Republic Of";thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;19;RUB;0.072642137901
01/08/2025;01/08/2025;"YouTube UGC";Netherlands;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.009872884734
01/09/2025;01/08/2025;Spotify;Belarus;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;7;RUB;0.000051939463
01/09/2025;01/08/2025;Spotify;Egypt;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;2;RUB;0.053845042871
01/08/2025;01/07/2025;Spotify;Brazil;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.008069524934
01/07/2025;01/06/2025;"UMA (Vkontakte)";Azerbaijan;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.004200000000
01/08/2025;01/07/2025;Spotify;Turkey;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;18;RUB;0.333789442484
01/09/2025;01/08/2025;Yandex;"Moldova, Republic Of";thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;2;RUB;0.007884949525
01/08/2025;01/07/2025;Spotify;Armenia;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.115115259752
01/09/2025;01/08/2025;NetEase;"China Mainland";thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;3;RUB;0.106719667895
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;3;RUB;0.454630511658
01/07/2025;01/07/2025;"YouTube UGC";Ukraine;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;4;RUB;0.045505266691
01/08/2025;01/07/2025;"Facebook / Instagram";Netherlands;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;7;RUB;0.025181794330
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.172406485472
01/09/2025;01/07/2025;"Facebook / Instagram";"United States";thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Creation;6;RUB;0.922243465139
01/08/2025;01/07/2025;Spotify;Georgia;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;5;RUB;0.632411656279
01/08/2025;01/07/2025;Spotify;Belgium;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;4;RUB;0.850388452734
01/08/2025;01/07/2025;Spotify;Romania;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.116559804314
01/07/2025;01/07/2025;"YouTube UGC";Poland;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.002223475914
01/08/2025;01/07/2025;Spotify;Poland;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;2;RUB;0.020223624170
01/08/2025;01/07/2025;Spotify;Belarus;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;5;RUB;0.204079281290
01/09/2025;01/08/2025;Spotify;Austria;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.291344778546
01/09/2025;01/08/2025;Spotify;Philippines;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.002025030546
01/09/2025;01/08/2025;Spotify;India;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;2;RUB;0.060231677592
01/09/2025;01/08/2025;Spotify;Germany;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;22;RUB;1.164496450258
01/09/2025;01/08/2025;Spotify;Brazil;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.008203969878
01/09/2025;01/08/2025;Spotify;France;thqlabel;"frommee, oyrhh";from_me;hard&soft;3617399230290;FR-X45-25-11330;;"Music Release";Stream;2;RUB;0.061322078655
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;114;RUB;4.263745383330
01/08/2025;01/07/2025;Spotify;Mexico;thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;1;RUB;0.083634150230
01/09/2025;01/08/2025;NetEase;"China Mainland";thqlabel;"frommee, oyrhh";hard&soft;hard&soft;3617397092036;FR-X45-25-11330;;"Music Release";Stream;5;RUB;0.157397649368
