"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;1;RUB;0.021427324346
01/08/2025;01/04/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;10;RUB;3.523226095723
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;1;RUB;0.149705663389
01/08/2025;01/07/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;2;RUB;0.042854648691
01/08/2025;01/02/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;1;RUB;0.305561262694
01/08/2025;01/12/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;1;RUB;0.272683218732
01/08/2025;01/06/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;6;RUB;1.934433415155
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;60;RUB;1.187989564262
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;18;RUB;0.389507379465
01/08/2025;01/03/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;6;RUB;2.051424925231
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;7;RUB;0.425195355125
01/07/2025;01/06/2025;Yandex;Uzbekistan;"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;8;RUB;0.334245212039
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;65;RUB;1.300691155334
01/08/2025;01/04/2024;"Apple Music";Netherlands;"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;1;RUB;-0.281526138218
01/08/2025;01/05/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;6;RUB;2.123125792051
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;1;RUB;0.015584690691
01/07/2025;01/06/2025;Yandex;Belarus;"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;3;RUB;0.065983710410
01/08/2025;01/01/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, ИНФИ";Lifespan;lifespan;3617055072783;FR-10S-23-20576;;"Music Release";Stream;2;RUB;0.622404826248
