"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/09/2025;"YouTube Official Content";"United Kingdom";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;2;RUB;0.546071184964
01/08/2025;01/12/2024;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;3;RUB;0.818049656270
01/09/2025;01/08/2025;Yandex;Belarus;"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;7;RUB;0.151475091988
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;427;RUB;10.037260911517
01/08/2025;01/05/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;7;RUB;2.476980090726
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;1;RUB;0.088755519957
01/09/2025;01/09/2025;"YouTube UGC";Germany;"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;3;RUB;0.029989892761
01/08/2025;01/02/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;1;RUB;0.305561262694
01/09/2025;01/07/2025;"Facebook / Instagram";Kazakhstan;"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Creation;6;RUB;0.059216436238
01/07/2025;01/06/2025;Yandex;Belarus;"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;11;RUB;0.223128179505
01/08/2025;01/07/2025;Soundcloud;Netherlands;"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;1;RUB;0.257368809455
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;8;RUB;0.033600000000
01/08/2025;01/08/2025;"YouTube UGC";Poland;"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;3;RUB;0.030808406278
01/08/2025;01/04/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;9;RUB;3.170903486203
01/08/2025;01/07/2025;Soundcloud;Germany;"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;7;RUB;1.801581666189
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;1;RUB;0.072385040009
01/08/2025;01/06/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;3;RUB;0.967216707578
01/09/2025;01/09/2025;"YouTube UGC";Poland;"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;1;RUB;0.030509190659
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси";Lifespan;чарончик;3617055072783;FR-10S-23-20574;;"Music Release";Stream;831;RUB;16.781006750345
