"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/09/2025;"Apple Music";Japan;"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;4;RUB;1.013395452755
01/07/2025;01/06/2025;Yandex;Belarus;"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;12;RUB;0.263934841640
01/07/2025;01/06/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;5;RUB;0.109972850708
01/08/2025;01/02/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;3;RUB;0.916683788007
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;6;RUB;0.340159062956
01/08/2025;01/03/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;8;RUB;2.735233233591
01/07/2025;01/07/2025;"Apple Music";Japan;"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;4;RUB;0.985059845499
01/08/2025;01/01/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;1;RUB;0.311202413162
01/08/2025;01/04/2024;"Apple Music";Netherlands;"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;1;RUB;-0.281526138218
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;1;RUB;0.004200000039
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;3;RUB;0.158105663389
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;119;RUB;2.389382783557
01/08/2025;01/06/2025;"Facebook / Instagram";Worldwide;"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Creation;6;RUB;0.128492557675
01/08/2025;01/07/2025;Yandex;Belarus;"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;4;RUB;0.085709297382
01/08/2025;01/04/2025;SberZvuk;"Russian Federation";"трэп хаус квэльчиков";"лил чича, тонси, ИНФИ, тенда";Lifespan;"i love money";3617055072783;FR-10S-23-20573;;"Music Release";Stream;13;RUB;4.580193924507
