"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/07/2025;TikTok;Lithuania;thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Creation;2;RUB;0.135799881186
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Stream;14;RUB;0.267556535757
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Stream;9;RUB;0.774517519480
01/09/2025;01/07/2025;"Facebook / Instagram";Armenia;thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Creation;5;RUB;0.444938620584
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Stream;2;RUB;0.008400000000
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/07/2025;"Facebook / Instagram";Turkey;thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Creation;6;RUB;1.082674889018
01/08/2025;01/06/2025;TikTok;"United Arab Emirates";thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Creation;2;RUB;0.132530305194
01/09/2025;01/07/2025;"Facebook / Instagram";Tajikistan;thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Creation;6;RUB;0.094512906123
01/09/2025;01/07/2025;"Facebook / Instagram";Kazakhstan;thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Creation;6;RUB;0.969298989880
01/09/2025;01/07/2025;"Facebook / Instagram";Germany;thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Creation;6;RUB;3.364468252097
01/07/2025;01/06/2025;"UMA (Vkontakte)";Belarus;thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Stream;16;RUB;0.328531957610
01/09/2025;01/07/2025;TikTok;Belarus;thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Creation;1;RUB;0.067899940593
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Stream;2;RUB;0.176606485511
01/09/2025;01/07/2025;TikTok;"United States";thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Creation;1;RUB;0.067899940593
01/08/2025;01/06/2025;TikTok;"Czech Republic";thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Creation;1;RUB;0.066265152634
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Stream;1;RUB;0.084117907326
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Stream;26;RUB;0.486694217419
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Stream;43;RUB;0.659217943296
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Stream;11;RUB;0.218096513984
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Stream;1;RUB;0.032257735685
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;lunsage;"зай, ты выглядишь прекрасно даже бледной";"зай, ты выглядишь прекрасно даже бледной";3617397190688;FR-X45-25-18654;;"Music Release";Stream;37;RUB;0.738550727162
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Stream;40;RUB;0.785722345476
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;lunsage;красивая;красивая;3617390487648;FR-2X4-25-48061;;"Music Release";Stream;1;RUB;0.004200000038
