"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/07/2025;"YouTube Official Content";Japan;thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;2;RUB;0.420111303159
01/09/2025;01/07/2025;Deezer;Brazil;thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;3;RUB;0.478824463459
01/07/2025;01/05/2025;Deezer;Brazil;thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;1;RUB;0.008856306024
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;41;RUB;0.901777375553
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;1;RUB;0.021427324346
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;20;RUB;0.084000000000
01/08/2025;01/06/2025;Deezer;Brazil;thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;3;RUB;0.213110753445
01/07/2025;01/04/2025;"Facebook / Instagram";Worldwide;thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Creation;6;RUB;0.130818480898
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;6;RUB;0.025200000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;11;RUB;0.238032287398
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;8;RUB;0.153814540948
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;1;RUB;0.074364613838
01/07/2025;01/06/2025;"Amazon Music Streaming";Brazil;thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;1;RUB;0.017639282510
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"lunsage, hori";осколки;осколки;3617393487980;FR-96X-25-59344;;"Music Release";Stream;11;RUB;0.046200000039
