"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;1;RUB;0.000000097358
01/07/2025;01/06/2025;Yandex;Kazakhstan;thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;2;RUB;0.006364956326
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;207;RUB;4.284669798091
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;15;RUB;2.273152558366
01/07/2025;01/07/2025;"YouTube UGC";"Russian Federation";thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;1;RUB;0.001780599837
01/09/2025;01/08/2025;"UMA (Vkontakte)";Kyrgyzstan;thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;5;RUB;0.021000000039
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/09/2025;"Apple Music";Kazakhstan;thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;1;RUB;0.057849198156
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;476;RUB;9.722064606410
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, Финнкун";"Мы Не Умеем Летать";Скажи;3617396354418;FR-X28-25-58348;;"Music Release";Stream;60;RUB;1.003194719655
