"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;1;RUB;0.061774167844
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"maryy, oukoo";diverse;"сок с яблоками";5063466246233;RU-A1D-24-81028;;"Music Release";Stream;20;RUB;0.410942433167
01/09/2025;01/08/2025;Yandex;Kyrgyzstan;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;1;RUB;0.021639298911
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;"maryy, oukoo";diverse;"сок с яблоками";5063466246233;RU-A1D-24-81028;;"Music Release";Stream;2;RUB;0.042854648691
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;50;RUB;2.076247402175
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;267;RUB;5.724602322282
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;1;RUB;0.151543503911
01/08/2025;01/07/2025;Yandex;Kazakhstan;thqlabel;"maryy, oukoo";"Мы Не Умеем Летать";"После Меня";3617396354418;FR-X28-25-58351;;"Music Release";Stream;1;RUB;0.003823270455
01/08/2025;01/07/2025;Spotify;Romania;thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;3;RUB;0.039998946404
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;13;RUB;0.054600000039
01/08/2025;01/07/2025;Yandex;Ukraine;thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;9;RUB;0.034409433723
01/08/2025;01/07/2025;Spotify;India;thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;3;RUB;0.120644378614
01/08/2025;01/07/2025;Yandex;Kyrgyzstan;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;1;RUB;0.021427324346
01/08/2025;01/07/2025;Spotify;Uzbekistan;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;5;RUB;0.009812940790
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, oukoo";"Мы Не Умеем Летать";"После Меня";3617396354418;FR-X28-25-58351;;"Music Release";Stream;54;RUB;0.824220168171
01/09/2025;01/08/2025;Spotify;Indonesia;thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;2;RUB;0.013604051307
01/09/2025;01/08/2025;Yandex;Ukraine;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;8;RUB;0.031539798101
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;49;RUB;2.768900207286
01/09/2025;01/08/2025;Yandex;Kyrgyzstan;thqlabel;"maryy, oukoo";"Мы Не Умеем Летать";"После Меня";3617396354418;FR-X28-25-58351;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;Spotify;Ukraine;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;9;RUB;0.353238019870
01/09/2025;01/07/2025;SberZvuk;"Russian Federation";thqlabel;"maryy, oukoo";"Мы Не Умеем Летать";"После Меня";3617396354418;FR-X28-25-58351;;"Music Release";Stream;24;RUB;0.000166732603
01/08/2025;01/07/2025;Spotify;India;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;50;RUB;2.180863825982
01/08/2025;01/07/2025;Spotify;Thailand;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;1;RUB;0.015790366668
01/07/2025;01/06/2025;Spotify;France;thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;10;RUB;0.730607723926
01/08/2025;01/07/2025;Spotify;Thailand;thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;2;RUB;0.031580733262
01/07/2025;01/06/2025;Spotify;Romania;thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;3;RUB;0.038959845610
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"maryy, oukoo";"Мы Не Умеем Летать";"После Меня";3617396354418;FR-X28-25-58351;;"Music Release";Stream;8;RUB;1.379251883542
01/08/2025;01/07/2025;Spotify;Nigeria;thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;5;RUB;0.078304278847
01/08/2025;01/07/2025;Spotify;Ukraine;thqlabel;"maryy, oukoo";"наш последний мост";"панические атаки";3617669734190;FR-10S-25-99744;;"Music Release";Stream;5;RUB;0.436850206866
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, oukoo";diverse;"сок с яблоками";5063466246233;RU-A1D-24-81028;;"Music Release";Stream;3;RUB;0.012600000039
01/09/2025;01/08/2025;Spotify;Japan;thqlabel;"maryy, oukoo";"diverse 2";обещание;3617665871905;DG-A0R-24-20309;;"Music Release";Stream;2;RUB;0.029544676399
