"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/06/2025;TikTok;Estonia;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Creation;1;RUB;0.066265152634
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;12;RUB;0.341411326852
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;4;RUB;0.167122605981
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;150;RUB;2.985245951611
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;178;RUB;3.877409300252
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;4;RUB;0.016800000000
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;1;RUB;0.310254232148
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;1;RUB;0.038518969014
01/08/2025;01/06/2025;SberZvuk;"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;12;RUB;0.000921929550
01/07/2025;01/05/2025;"Facebook / Instagram";Worldwide;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Creation;6;RUB;0.136247731222
01/08/2025;01/05/2025;SberZvuk;"United Kingdom";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;2;RUB;0.000035802689
01/09/2025;01/07/2025;TikTok;Belarus;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Creation;1;RUB;0.067899940593
01/09/2025;01/08/2025;Spotify;Nigeria;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;4;RUB;0.067968327666
01/08/2025;01/04/2025;SberZvuk;"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;1;RUB;0.352322609594
01/08/2025;01/05/2025;SberZvuk;"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;19;RUB;0.000340125694
01/08/2025;01/07/2025;Spotify;Thailand;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;1;RUB;0.015790366668
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;1;RUB;0.172406485472
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;9;RUB;0.374212970905
01/07/2025;01/06/2025;Spotify;Netherlands;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;1;RUB;0.050014032547
01/09/2025;01/08/2025;Spotify;Ukraine;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;4;RUB;0.163196692034
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;57;RUB;1.233440034815
01/07/2025;01/04/2025;"Facebook / Instagram";Worldwide;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Creation;6;RUB;0.130818480898
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;"maryy, тенда, kweetee";diverse;"ломай меня";5063466246233;RU-A1D-24-81023;;"Music Release";Stream;3;RUB;0.064281973111
