"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA (Vkontakte)";Ukraine;thqlabel;"maryy, w0rsty";"наш последний мост";"наш последний мост";3617669734190;FR-10S-25-99742;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"maryy, w0rsty";"наш последний мост";"наш последний мост";3617669734190;FR-10S-25-99742;;"Music Release";Stream;25;RUB;0.512240069494
01/08/2025;01/07/2025;Yandex;Kazakhstan;thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;6;RUB;0.093355838218
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;"maryy, w0rsty";"наш последний мост";"наш последний мост";3617669734190;FR-10S-25-99742;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;"UMA (Vkontakte)";Kyrgyzstan;thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;17;RUB;0.071400000039
01/08/2025;01/08/2025;"YouTube Official Content";Ukraine;thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;3;RUB;0.170797708330
01/08/2025;01/07/2025;Yandex;Turkmenistan;thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;2;RUB;0.007646540836
01/09/2025;01/09/2025;"YouTube Official Content";Germany;thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;1;RUB;0.235745843167
01/08/2025;01/07/2025;"UMA (Vkontakte)";Belarus;thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;10;RUB;0.042000000000
01/08/2025;01/07/2025;Yandex;"Moldova, Republic Of";thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;13;RUB;2.168539280043
01/08/2025;01/07/2025;NetEase;"China Mainland";thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;7;RUB;0.194865278646
01/09/2025;01/09/2025;"YouTube Official Content";Poland;thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;1;RUB;0.095341206470
01/07/2025;01/07/2025;"Apple Music";"Russian Federation";thqlabel;"maryy, w0rsty";"наш последний мост";"наш последний мост";3617669734190;FR-10S-25-99742;;"Music Release";Stream;1;RUB;0.104536320026
01/09/2025;01/08/2025;"UMA VK MUSIC";Belarus;thqlabel;"maryy, w0rsty";"волосы / обещаю";волосы;3617398435276;FR-X76-25-16831;;"Music Release";Stream;6;RUB;0.524194551538
