"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;4;RUB;0.087978280522
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"мёртвый идол";RESONANCE;макромания;3617668029495;DG-A0T-24-35496;;"Music Release";Stream;1;RUB;0.313820373482
01/08/2025;01/07/2025;NetEase;"China Mainland";"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;3;RUB;0.101148900256
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;4;RUB;0.068105243566
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;макромания;3617668029495;DG-A0T-24-35496;;"Music Release";Stream;3;RUB;0.065983710410
01/07/2025;01/05/2025;TikTok;France;"Stars Clique";"мёртвый идол";RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Creation;1;RUB;0.069745987130
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;3;RUB;0.180806485472
01/08/2025;01/07/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";"мёртвый идол";RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;1;RUB;0.070392054506
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"мёртвый идол";RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;1;RUB;0.333639733670
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;макромания;3617668029495;DG-A0T-24-35496;;"Music Release";Stream;1;RUB;0.004200000038
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;18;RUB;0.385691838366
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;3;RUB;0.047221072390
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"мёртвый идол";RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;1;RUB;0.249603508989
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;12;RUB;0.777928317019
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;1;RUB;0.004200000038
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;6;RUB;0.112138969046
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"мёртвый идол";RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;1;RUB;0.021639298911
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";"мёртвый идол";RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;1;RUB;0.075742777069
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;2;RUB;0.043989140298
01/07/2025;01/06/2025;NetEase;"China Mainland";"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;2;RUB;0.065673815185
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;22;RUB;1.547456634112
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;7;RUB;0.153961990932
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;3;RUB;0.227228331132
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"мёртвый идол";RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;1;RUB;0.111540995750
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;1;RUB;0.172406485472
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;15;RUB;2.245584951131
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;4;RUB;0.185006485511
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;15;RUB;1.809067960890
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;4;RUB;0.086557195410
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;2;RUB;0.008400000000
01/07/2025;01/06/2025;Yandex;Belarus;"Stars Clique";"мёртвый идол";RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;1;RUB;0.021994570186
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;1;RUB;0.021427324346
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;3;RUB;0.012600000038
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;13;RUB;0.267117319803
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;5;RUB;0.021000000038
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;5;RUB;0.108196494322
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;NetEase;"China Mainland";"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;5;RUB;0.177866113236
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;2;RUB;0.043278597666
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;7;RUB;0.153961990932
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;4;RUB;0.453316990241
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"мёртвый идол";RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;1;RUB;0.317036516246
01/07/2025;01/06/2025;Yandex;Kazakhstan;"Stars Clique";"мёртвый идол";RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;1;RUB;0.021994570186
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;1;RUB;0.172406485472
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;1;RUB;0.365963710674
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;пульс;3617668029495;DG-A0T-24-35495;;"Music Release";Stream;4;RUB;0.016800000000
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;resonance;3617668029495;DG-A0T-24-35492;;"Music Release";Stream;19;RUB;1.680362297502
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;макромания;3617668029495;DG-A0T-24-35496;;"Music Release";Stream;12;RUB;1.796467960890
01/09/2025;01/08/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;макромания;3617668029495;DG-A0T-24-35496;;"Music Release";Stream;2;RUB;0.025581773634
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"Stars Clique";"мёртвый идол";RESONANCE;"не по пути";3617668029495;DG-A0T-24-35497;;"Music Release";Stream;1;RUB;0.421675345156
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"pink glasses";3617668029495;DG-A0T-24-35494;;"Music Release";Stream;10;RUB;0.179065135674
01/07/2025;01/06/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;"день сурка";3617668029495;DG-A0T-24-35493;;"Music Release";Stream;5;RUB;0.109972850708
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;откровения;3617668029495;DG-A0T-24-35498;;"Music Release";Stream;1;RUB;0.004200000039
01/08/2025;01/07/2025;Yandex;"Russian Federation";"Stars Clique";"мёртвый идол";RESONANCE;макромания;3617668029495;DG-A0T-24-35496;;"Music Release";Stream;6;RUB;0.110959892182
