"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;15;RUB;0.464140100103
01/07/2025;01/06/2025;Yandex;"Russian Federation";"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;84;RUB;1.828731799455
01/09/2025;01/07/2025;TikTok;Germany;"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Creation;1;RUB;0.067899940593
01/09/2025;01/08/2025;Yandex;"Russian Federation";"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;41;RUB;0.831864825239
01/08/2025;01/07/2025;Yandex;Belarus;"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;4;RUB;0.085709297382
01/08/2025;01/07/2025;"UMA (Odnoklassniki)";"Russian Federation";"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;1;RUB;0.205437328913
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;20;RUB;0.263864158381
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;1;RUB;0.106894479981
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;6;RUB;0.329761786724
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;1;RUB;0.016034188746
01/09/2025;01/08/2025;"UMA (Odnoklassniki)";Kyrgyzstan;"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;9;RUB;0.037800000039
01/09/2025;01/08/2025;Yandex;Belarus;"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;2;RUB;0.043278597666
01/07/2025;01/07/2025;"Apple Music";"Russian Federation";"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;7;RUB;0.673941520061
01/08/2025;01/07/2025;Yandex;"Russian Federation";"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;117;RUB;2.436580733449
01/09/2025;01/07/2025;TikTok;Poland;"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Creation;2;RUB;0.135799881186
01/07/2025;01/07/2025;"YouTube Official Content";Poland;"DARKI MUZIK";mesha;вновь;вновь;3617397576550;FR-X45-25-51947;;"Music Release";Stream;1;RUB;0.107962257927
