"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;onwq;"ссоры с детства";"не стоит доверять китам";3617394938313;FR-X20-25-70447;;"Music Release";Stream;33;RUB;0.338144940740
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;onwq;"Китайские News";"Китайские News";3617396836242;FR-X28-25-89682;;"Music Release";Stream;208;RUB;2.844158125726
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;onwq;"ссоры с детства";*букашки;3617394938313;FR-X20-25-70451;;"Music Release";Stream;12;RUB;0.259671586232
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;onwq;"ссоры с детства";"любимая сестра";3617394938313;FR-X20-25-70452;;"Music Release";Stream;7;RUB;0.153961990932
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;onwq;"ссоры с детства";"любимая сестра";3617394938313;FR-X20-25-70452;;"Music Release";Stream;14;RUB;0.302950183976
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;onwq;"ссоры с детства";*букашки;3617394938313;FR-X20-25-70451;;"Music Release";Stream;13;RUB;1.970065550544
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";thqlabel;onwq;"ссоры с детства";*букашки;3617394938313;FR-X20-25-70451;;"Music Release";Stream;1;RUB;0.004200000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;onwq;"ссоры с детства";"не стоит доверять китам";3617394938313;FR-X20-25-70447;;"Music Release";Stream;6;RUB;0.129835793155
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;onwq;"ссоры с детства";"не стоит доверять китам";3617394938313;FR-X20-25-70447;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;onwq;"ссоры с детства";"запись 03_01_25";3617394938313;FR-X20-25-70456;;"Music Release";Stream;2;RUB;0.008400000000
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;onwq;"ссоры с детства";"сказка о ночных кошмарах";3617394938313;FR-X20-25-70458;;"Music Release";Stream;43;RUB;0.877399378588
01/09/2025;01/09/2025;"YouTube Official Content";Belarus;thqlabel;onwq;"ссоры с детства";Ева;3617394938313;FR-X20-25-70459;;"Music Release";Stream;1;RUB;0.511345713877
01/07/2025;01/07/2025;"YouTube UGC";"Russian Federation";thqlabel;onwq;"Китайские News";"Китайские News";3617396836242;FR-X28-25-89682;;"Music Release";Stream;1;RUB;0.007477855710
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;onwq;"Китайские News";"Китайские News";3617396836242;FR-X28-25-89682;;"Music Release";Stream;50;RUB;0.355505663389
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;onwq;"ссоры с детства";"надеюсь не усну";3617394938313;FR-X20-25-70450;;"Music Release";Stream;1;RUB;0.052203664098
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;onwq;"ссоры с детства";"не буду (^о^)";3617394938313;FR-X20-25-70453;;"Music Release";Stream;31;RUB;0.130200000039
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;onwq;"Китайские News";"Китайские News";3617396836242;FR-X28-25-89682;;"Music Release";Stream;1;RUB;0.017490166549
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;onwq;"ссоры с детства";"просто музыка";3617394938313;FR-X20-25-70448;;"Music Release";Stream;1;RUB;0.000000097358
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;onwq;"ссоры с детства";"не буду (^о^)";3617394938313;FR-X20-25-70453;;"Music Release";Stream;1;RUB;0.304847608624
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;onwq;"Китайские News";"Китайские News";3617396836242;FR-X28-25-89682;;"Music Release";Stream;63;RUB;1.447416442142
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;onwq;"ссоры с детства";"надеюсь не усну";3617394938313;FR-X20-25-70450;;"Music Release";Stream;32;RUB;0.808372881017
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;onwq;"ссоры с детства";"просто музыка";3617394938313;FR-X20-25-70448;;"Music Release";Stream;43;RUB;0.769974015606
01/08/2025;01/07/2025;Yandex;Uzbekistan;thqlabel;onwq;"ссоры с детства";"любимая сестра";3617394938313;FR-X20-25-70452;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;onwq;лишьплохое;лишьплохое;3617393946654;FR-X20-25-06093;;"Music Release";Stream;6;RUB;0.025200000000
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;onwq;"ссоры с детства";"просто музыка";3617394938313;FR-X20-25-70448;;"Music Release";Stream;10;RUB;1.515435038886
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;onwq;"ссоры с детства";"любимая сестра";3617394938313;FR-X20-25-70452;;"Music Release";Stream;115;RUB;2.842615264963
01/09/2025;01/07/2025;"Facebook / Instagram";"Korea, Republic Of";thqlabel;onwq;"ссоры с детства";"любимая сестра";3617394938313;FR-X20-25-70452;;"Music Release";Creation;6;RUB;0.769009957582
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;onwq;"ссоры с детства";"надеюсь не усну";3617394938313;FR-X20-25-70450;;"Music Release";Stream;4;RUB;0.606174015570
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;onwq;"ссоры с детства";"не стоит доверять китам";3617394938313;FR-X20-25-70447;;"Music Release";Stream;1;RUB;0.151543503911
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;onwq;"ссоры с детства";*букашки;3617394938313;FR-X20-25-70451;;"Music Release";Stream;33;RUB;4.940286892430
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;onwq;"ссоры с детства";*букашки;3617394938313;FR-X20-25-70451;;"Music Release";Stream;1;RUB;0.021639298911
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;onwq;"ссоры с детства";"сказка о ночных кошмарах";3617394938313;FR-X20-25-70458;;"Music Release";Stream;22;RUB;0.333383807097
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;onwq;"ссоры с детства";"сказка о ночных кошмарах";3617394938313;FR-X20-25-70458;;"Music Release";Stream;17;RUB;0.428583742934
01/08/2025;01/07/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;onwq;"Китайские News";"Китайские News";3617396836242;FR-X28-25-89682;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;onwq;"ссоры с детства";"сказка о ночных кошмарах";3617394938313;FR-X20-25-70458;;"Music Release";Stream;2;RUB;0.043989140298
01/08/2025;01/06/2025;"Facebook / Instagram";Tajikistan;thqlabel;onwq;"ссоры с детства";"просто музыка";3617394938313;FR-X20-25-70448;;"Music Release";Creation;6;RUB;0.005098105511
01/08/2025;01/06/2025;TikTok;France;thqlabel;onwq;"ссоры с детства";*букашки;3617394938313;FR-X20-25-70451;;"Music Release";Creation;1;RUB;0.066265152634
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;onwq;"ссоры с детства";"просто музыка";3617394938313;FR-X20-25-70448;;"Music Release";Stream;105;RUB;0.495039277351
01/08/2025;01/07/2025;Yandex;Kazakhstan;thqlabel;onwq;"ссоры с детства";"любимая сестра";3617394938313;FR-X20-25-70452;;"Music Release";Stream;3;RUB;0.046677919146
01/07/2025;01/07/2025;"YouTube UGC";Ukraine;thqlabel;onwq;"ссоры с детства";"просто музыка";3617394938313;FR-X20-25-70448;;"Music Release";Stream;1;RUB;0.002479558790
01/09/2025;01/08/2025;Spotify;Turkey;thqlabel;onwq;"ссоры с детства";"просто музыка";3617394938313;FR-X20-25-70448;;"Music Release";Stream;1;RUB;0.018796437348
01/08/2025;01/06/2025;TikTok;Belarus;thqlabel;onwq;"ссоры с детства";*букашки;3617394938313;FR-X20-25-70451;;"Music Release";Creation;1;RUB;0.066265152634
01/09/2025;01/08/2025;Spotify;France;thqlabel;onwq;"ссоры с детства";"просто музыка";3617394938313;FR-X20-25-70448;;"Music Release";Stream;3;RUB;0.092009085144
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;onwq;"ссоры с детства";"не буду (^о^)";3617394938313;FR-X20-25-70453;;"Music Release";Stream;1;RUB;0.149705663389
