"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;28;RUB;1.016611213166
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;47;RUB;0.276928061667
01/09/2025;01/09/2025;"Apple Music";Turkey;thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;16;RUB;1.300898531834
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;87;RUB;1.864922176402
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;1;RUB;0.000000097358
01/07/2025;01/05/2025;TikTok;"United States";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Creation;1;RUB;0.069745987130
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;14;RUB;0.563419456377
01/07/2025;01/06/2025;Yandex;Belarus;thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;3;RUB;0.065983710410
01/09/2025;01/07/2025;"Facebook / Instagram";"Russian Federation";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Creation;6;RUB;0.952791079351
01/07/2025;01/05/2025;"Facebook / Instagram";Worldwide;thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Creation;6;RUB;0.136247731222
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;76;RUB;1.823466666567
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;138;RUB;2.903566034846
01/07/2025;01/07/2025;"YouTube UGC";Ukraine;thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;1;RUB;0.002479558790
01/07/2025;01/06/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;1;RUB;0.149705663389
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;12;RUB;0.259671586232
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;1;RUB;0.160886628309
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;1;RUB;0.061868819690
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;"onwq, Yukisoru";"ссоры с детства";"кем я стану завтра?";3617394938313;FR-X20-25-70454;;"Music Release";Stream;1;RUB;0.021427324346
