"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;45;RUB;1.198238912714
01/07/2025;01/07/2025;"YouTube UGC";Ukraine;thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;1;RUB;0.002479558790
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;148;RUB;3.563299607152
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;2;RUB;0.043278597666
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;17;RUB;0.410979689043
01/09/2025;01/09/2025;"Apple Music";Turkey;thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;1;RUB;0.025265166106
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;14;RUB;0.302950183976
01/09/2025;01/08/2025;"UMA (Vkontakte)";Belarus;thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;4;RUB;0.016800000000
01/07/2025;01/07/2025;"YouTube Official Content";"Saudi Arabia";thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;1;RUB;0.011801266146
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;66;RUB;0.277200000000
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;23;RUB;0.393002561180
01/09/2025;01/08/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;2;RUB;0.344812970866
01/07/2025;01/07/2025;"YouTube Official Content";Ukraine;thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;1;RUB;0.025489825399
01/07/2025;01/07/2025;"YouTube Official Content";Denmark;thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;1;RUB;0.097047792093
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;1;RUB;0.151543503911
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;9;RUB;0.177056865622
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;thqlabel;"onwq, destroy sally";"ссоры с детства";pallet_audio.cwwk;3617394938313;FR-X20-25-70449;;"Music Release";Stream;1;RUB;0.041758722751
