"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;Yandex;Uzbekistan;thqlabel;oukoo;40%;"лучше бы я забыл";3617390425305;FR-2X4-25-43120;;"Music Release";Stream;1;RUB;0.021639298911
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;oukoo;ou;rougher;3617399824536;FR-X87-25-25613;;"Music Release";Stream;20;RUB;1.766064854407
01/09/2025;01/08/2025;SberZvuk;"Russian Federation";thqlabel;oukoo;"хотя бы";"тайтл файт";3617660911385;DG-A07-24-76763;;"Music Release";Stream;1;RUB;0.000000097358
01/07/2025;01/06/2025;Yandex;"Russian Federation";thqlabel;oukoo;40%;"лучше бы я забыл";3617390425305;FR-2X4-25-43120;;"Music Release";Stream;335;RUB;6.540448948286
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;oukoo;"щенки видят больше";тишетише;3617665872261;DG-A0R-24-20347;;"Music Release";Stream;350;RUB;7.536678136699
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;oukoo;"щенки видят больше";тишетише;3617665872261;DG-A0R-24-20347;;"Music Release";Stream;21;RUB;1.182440538074
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;oukoo;"хотя бы";"больше никакого спорта";3617660911385;DG-A07-24-76764;;"Music Release";Stream;3;RUB;0.159943503911
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;oukoo;"face to face";"face to face";3617393694838;FR-96X-25-80032;;"Music Release";Stream;375;RUB;7.771185822966
01/07/2025;01/07/2025;"iTunes Match";"Russian Federation";thqlabel;oukoo;"щенки видят больше";гладьгладь;3617665872261;DG-A0R-24-20346;;"Music Release";Stream;4;RUB;0.017373765699
01/07/2025;01/06/2025;Yandex;Kyrgyzstan;thqlabel;oukoo;40%;"лучше бы я забыл";3617390425305;FR-2X4-25-43120;;"Music Release";Stream;1;RUB;0.021994570186
01/07/2025;01/05/2025;TikTok;Sweden;thqlabel;oukoo;"face to face";"face to face";3617393694838;FR-96X-25-80032;;"Music Release";Creation;3;RUB;0.209237961314
01/09/2025;01/08/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;oukoo;"щенки видят больше";гладьгладь;3617665872261;DG-A0R-24-20346;;"Music Release";Stream;2;RUB;0.008400000000
01/09/2025;01/08/2025;Yandex;Kazakhstan;thqlabel;oukoo;"хотя бы";"тайтл файт";3617660911385;DG-A07-24-76763;;"Music Release";Stream;2;RUB;0.043278597666
