"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;1;RUB;0.151543503911
01/09/2025;01/08/2025;Yandex;"Russian Federation";thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;76;RUB;1.625207074289
01/08/2025;01/07/2025;Yandex;"Russian Federation";thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;247;RUB;5.186924791393
01/08/2025;01/07/2025;Yandex;Kazakhstan;thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;3;RUB;0.064281973111
01/08/2025;01/07/2025;NetEase;"China Mainland";thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;1;RUB;0.033716300086
01/08/2025;01/07/2025;"UMA (Vkontakte)";Kazakhstan;thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;1;RUB;0.004200000038
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;41;RUB;2.761638431561
01/09/2025;01/08/2025;Yandex;Belarus;thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;4;RUB;0.086557195410
01/08/2025;01/07/2025;Yandex;Belarus;thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;1;RUB;0.021427324346
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";thqlabel;"oukoo, frommee";"всё что я мог отдать";"всё что я мог отдать";3617398379938;FR-X76-25-13600;;"Music Release";Stream;17;RUB;2.089877825312
