"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/07/2025;01/06/2025;"UMA (Vkontakte)";Belarus;"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;3;RUB;0.233286935099
01/07/2025;01/06/2025;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;2;RUB;0.008400000000
01/08/2025;01/07/2025;"UMA VK MUSIC";"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;1;RUB;0.088798865410
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;1;RUB;0.292787315598
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;22;RUB;0.444661175629
01/07/2025;01/07/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;4;RUB;0.280647360022
01/08/2025;01/08/2025;"Apple Music";Kazakhstan;"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;8;RUB;0.813732791953
01/07/2025;01/06/2025;"Tencent QQ/CN";"China Mainland";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;1;RUB;0.035364800905
01/07/2025;01/07/2025;"Apple Music";Philippines;"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;2;RUB;0.178954488606
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;10;RUB;0.333011326852
01/08/2025;01/07/2025;"UMA (Vkontakte)";Kazakhstan;"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;3;RUB;0.012600000038
01/08/2025;01/08/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;1;RUB;0.071179360023
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;14;RUB;0.302950183976
01/09/2025;01/09/2025;"Apple Music";"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;3;RUB;0.217155120027
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;9;RUB;0.037800000039
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;25;RUB;0.518079054894
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";oyrhh;elvesa;elvesa;3617055332740;FR-10S-23-74779;;"Music Release";Stream;22;RUB;0.389820083017
