"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";podesne;китай-город;китай-город;3617225183080;DG-A06-23-71534;;"Music Release";Stream;14;RUB;0.923746694926
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";podesne;"твоё эго";"твоё эго";3617053769180;DG-A07-22-50270;;"Music Release";Stream;5;RUB;0.109972850708
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";podesne;"твоё эго";"твоё эго";3617053769180;DG-A07-22-50270;;"Music Release";Stream;1;RUB;0.173451031276
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";podesne;сердце;сердце;3617054859422;DG-A09-22-17297;;"Music Release";Stream;7;RUB;0.151475091988
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";podesne;китай-город;китай-город;3617225183080;DG-A06-23-71534;;"Music Release";Stream;16;RUB;0.806735561706
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";podesne;китай-город;китай-город;3617225183080;DG-A06-23-71534;;"Music Release";Stream;13;RUB;0.363344438070
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";podesne;сердце;сердце;3617054859422;DG-A09-22-17297;;"Music Release";Stream;3;RUB;0.158105663389
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";podesne;сердце;сердце;3617054859422;DG-A09-22-17297;;"Music Release";Stream;3;RUB;0.012600000039
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";podesne;китай-город;китай-город;3617225183080;DG-A06-23-71534;;"Music Release";Stream;14;RUB;0.299982540910
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";podesne;сердце;сердце;3617054859422;DG-A09-22-17297;;"Music Release";Stream;14;RUB;0.282378487020
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";podesne;"твоё эго";"твоё эго";3617053769180;DG-A07-22-50270;;"Music Release";Stream;6;RUB;0.128563946147
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";podesne;сердце;сердце;3617054859422;DG-A09-22-17297;;"Music Release";Stream;2;RUB;0.008400000000
01/08/2025;01/07/2025;Yandex;Kazakhstan;"трэп хаус квэльчиков";podesne;"твоё эго";"твоё эго";3617053769180;DG-A07-22-50270;;"Music Release";Stream;1;RUB;0.021427324346
01/08/2025;01/07/2025;Yandex;Belarus;"трэп хаус квэльчиков";podesne;китай-город;китай-город;3617225183080;DG-A06-23-71534;;"Music Release";Stream;1;RUB;0.021427324346
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";podesne;сердце;сердце;3617054859422;DG-A09-22-17297;;"Music Release";Stream;39;RUB;0.838976143306
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";podesne;китай-город;китай-город;3617225183080;DG-A06-23-71534;;"Music Release";Stream;1;RUB;0.814071540279
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";podesne;"твоё эго";"твоё эго";3617053769180;DG-A07-22-50270;;"Music Release";Stream;1;RUB;0.004200000000
01/07/2025;01/06/2025;"UMA (Odnoklassniki)";"Russian Federation";"трэп хаус квэльчиков";podesne;китай-город;китай-город;3617225183080;DG-A06-23-71534;;"Music Release";Stream;35;RUB;0.147000000000
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";podesne;китай-город;китай-город;3617225183080;DG-A06-23-71534;;"Music Release";Stream;24;RUB;0.544389858009
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";podesne;сердце;сердце;3617054859422;DG-A09-22-17297;;"Music Release";Stream;1;RUB;0.038556450666
01/09/2025;01/08/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";podesne;"твоё эго";"твоё эго";3617053769180;DG-A07-22-50270;;"Music Release";Stream;3;RUB;0.076563835564
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";podesne;"твоё эго";"твоё эго";3617053769180;DG-A07-22-50270;;"Music Release";Stream;1;RUB;0.004200000038
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";podesne;китай-город;китай-город;3617225183080;DG-A06-23-71534;;"Music Release";Stream;7;RUB;0.133778267878
