"Reporting Month";"Sales Month";Platform;Country/Region;"Label Name";"Artist Name";"Release title";"Track title";UPC;ISRC;"Release Catalog nb";"Release Type";"Sales Type";Quantity;"Client Payment Currency";"Net Revenue"
01/08/2025;01/06/2025;"Facebook / Instagram";Worldwide;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";"BODY LANGVAGE";3617053825886;DG-A07-22-69158;;"Music Release";Creation;6;RUB;0.128492557675
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";LVNGS;3617053825886;DG-A07-22-69154;;"Music Release";Stream;1;RUB;0.004749460378
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";"прогулка Outro";3617053825886;DG-A07-22-69159;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/06/2024;Wynk;India;"трэп хаус квэльчиков";qurial;quriosity;quriosity;3617054974101;FR-10S-23-01273;;"Music Release";Stream;1;RUB;0.023929921054
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";"прогулка Outro";3617053825886;DG-A07-22-69159;;"Music Release";Stream;1;RUB;0.083728061667
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";T33TH;3617053825886;DG-A07-22-69157;;"Music Release";Stream;1;RUB;0.012315791052
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";"прогулка Outro";3617053825886;DG-A07-22-69159;;"Music Release";Stream;1;RUB;0.008665693432
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";10:55;3617053825886;DG-A07-22-69155;;"Music Release";Stream;1;RUB;0.009113899674
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";T33TH;3617053825886;DG-A07-22-69157;;"Music Release";Stream;1;RUB;0.021639298911
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";LVNGS;3617053825886;DG-A07-22-69154;;"Music Release";Stream;1;RUB;0.021994570186
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";T33TH;3617053825886;DG-A07-22-69157;;"Music Release";Stream;1;RUB;0.021427324346
01/08/2025;01/09/2024;Wynk;India;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";LVNGS;3617053825886;DG-A07-22-69154;;"Music Release";Stream;1;RUB;0.025257968329
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";10:55;3617053825886;DG-A07-22-69155;;"Music Release";Stream;1;RUB;0.004200000038
01/07/2025;01/06/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";"прогулка Outro";3617053825886;DG-A07-22-69159;;"Music Release";Stream;2;RUB;0.043989140298
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";КРЕДИТ;3617053825886;DG-A07-22-69156;;"Music Release";Stream;1;RUB;0.018241570645
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";qurial;belly_fishes;belly_fishes;3617055777732;FR-2X4-23-35009;;"Music Release";Stream;1;RUB;0.000348493894
01/07/2025;01/06/2025;"UMA VK Clips";"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";КРЕДИТ;3617053825886;DG-A07-22-69156;;"Music Release";Stream;14;RUB;0.007198614322
01/07/2025;01/04/2025;"Facebook / Instagram";Tajikistan;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";"BODY LANGVAGE";3617053825886;DG-A07-22-69158;;"Music Release";Creation;7;RUB;0.005919032612
01/07/2025;01/06/2025;"Line Music";Japan;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";10:55;3617053825886;DG-A07-22-69155;;"Music Release";Stream;1;RUB;0.138781883670
01/09/2025;01/06/2025;"UMA (Vkontakte)";Worldwide;"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";"BODY LANGVAGE";3617053825886;DG-A07-22-69158;;"Music Release";Stream;1;RUB;0.029893776711
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";КРЕДИТ;3617053825886;DG-A07-22-69156;;"Music Release";Stream;1;RUB;0.088798865410
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";LVNGS;3617053825886;DG-A07-22-69154;;"Music Release";Stream;1;RUB;0.004200000038
01/08/2025;01/07/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";qurial;belly_fishes;belly_fishes;3617055777732;FR-2X4-23-35009;;"Music Release";Stream;1;RUB;0.004200000038
01/09/2025;01/08/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";"прогулка Outro";3617053825886;DG-A07-22-69159;;"Music Release";Stream;2;RUB;0.076989431249
01/08/2025;01/07/2025;Yandex;"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";КРЕДИТ;3617053825886;DG-A07-22-69156;;"Music Release";Stream;1;RUB;0.003823270455
01/07/2025;01/06/2025;"UMA (Vkontakte)";"Russian Federation";"трэп хаус квэльчиков";qurial;"Серьёзное ЕП!!! Мои Носороги Агрессивно Доят Циферблаты, А Тараканы Ь";LVNGS;3617053825886;DG-A07-22-69154;;"Music Release";Stream;1;RUB;0.004200000000
